TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
EESR,1998-02-03,1.42,1.42,1.34,1.36,36417724,1.3746
EESRP,1998-02-03,0.94,0.94,0.86,0.86,168650,0.9106
IRGZ,1998-02-03,0.78,0.78,0.72,0.72,533638,0.7407
LKOH,1998-02-03,108.9,108.9,103,103.19,43430711,105.1447
RTKM,1998-02-03,17.8,18,17.41,17.41,3287651,17.7144
RTKMP,1998-02-03,,,,,0,12.825
RU0008926639,1998-02-03,30,30,30,30,6000,30
RU0008958863,1998-02-03,0.63,0.63,0.607,0.615,23951680,0.61864
RU0008959614,1998-02-03,,,,,0,12.5
RU0009004642,1998-02-03,28.77,28.77,28.77,28.77,230160,28.77
RU0009033591,1998-02-03,,,,,0,5.15
RU0009046668,1998-02-03,65,65,60.5,60.5,48850,61.0988
RU0009046676,1998-02-03,,,,,0,48.75
RU0009058804,1998-02-03,,,,,0,17.5
RU0009112502,1998-02-03,,,,,0,630
SBER03,1998-02-03,,,,,0,1153.5
SNGS,1998-02-03,0.75,0.76,0.7,0.73,2401110,0.7288
SNGSP,1998-02-03,,,,,0,0.91
EESR,1998-02-04,1.32,1.36,1.3,1.33,29154860,1.3323
EESRP,1998-02-04,0.88,0.89,0.87,0.89,207597,0.8838
IRGZ,1998-02-04,0.72,0.73,0.71,0.71,345809,0.7246
LKOH,1998-02-04,101.4,103.89,99.9,101.56,34552852,101.847
RTKM,1998-02-04,16.77,17.7,16.77,17,2501094,17.2152
RTKMP,1998-02-04,10.25,10.25,10.25,10.25,17425,10.25
RU0008926639,1998-02-04,,,,,0,41.45
RU0008958863,1998-02-04,0.595,0.621,0.595,0.617,47519380,0.61312
RU0009004642,1998-02-04,27.02,28.2,27.02,28.2,123608,28.0968
RU0009011126,1998-02-04,,,,,0,17.5
RU0009033591,1998-02-04,6,6,6,6,9360000,6
RU0009046668,1998-02-04,,,,,0,67.95
RU0009058804,1998-02-04,,,,,0,17.5
RU0009112502,1998-02-04,,,,,0,632.5
SBER03,1998-02-04,,,,,0,1110.5
SNGS,1998-02-04,0.68,0.72,0.67,0.7,2199640,0.6982
SNGSP,1998-02-04,0.46,0.46,0.44,0.44,112500,0.4502
EESR,1998-02-05,1.34,1.44,1.34,1.42,43512440,1.4006
EESRP,1998-02-05,0.91,0.93,0.86,0.92,513597,0.9117
IRGZ,1998-02-05,0.7,0.83,0.7,0.8,1313737,0.7789
LKOH,1998-02-05,101.75,109.95,101.75,109,65220328,106.7968
RTKM,1998-02-05,16.8,18.7,16.8,18.2,6218353,18.1064
RTKMP,1998-02-05,,,,,0,11.625
RU0008926639,1998-02-05,36.5,36.5,36.5,36.5,146000,36.5
RU0008958863,1998-02-05,0.637,0.689,0.63,0.683,101650150,0.66351
RU0009004642,1998-02-05,29,30.26,28.55,29,252700,29.4071
RU0009011126,1998-02-05,20.5,20.5,20.5,20.5,159900,20.5
RU0009033591,1998-02-05,6.3,6.8,6.3,6.8,97034000,6.4642
RU0009046668,1998-02-05,,,,,0,65.35
RU0009046676,1998-02-05,,,,,0,44.5
RU0009058804,1998-02-05,15,15,15,15,15000,15
RU0009112502,1998-02-05,,,,,0,632.5
SBER03,1998-02-05,1115,1117,1115,1117,37934,1115.7067
