<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AVAZ,D,19991004,000000,40.00000,40.00000,40.00000,40.00000
AVAZ,D,19991029,000000,47.50000,47.50000,47.50000,47.50000
AVAZ,D,19991221,000000,41.50000,41.50000,41.50000,41.50000
AVAZ,D,20000105,000000,42.50000,42.50000,42.50000,42.50000
AVAZ,D,20000112,000000,47.50000,47.50000,47.50000,47.50000
AVAZ,D,20000113,000000,47.50000,47.50000,47.50000,47.50000
AVAZ,D,20000204,000000,70.00000,70.00000,70.00000,70.00000
AVAZ,D,20000218,000000,95.00000,95.00000,95.00000,95.00000
AVAZ,D,20000309,000000,86.00000,86.00000,86.00000,86.00000
AVAZ,D,20000321,000000,90.00000,90.00000,90.00000,90.00000
AVAZ,D,20000322,000000,95.00000,95.00000,84.50000,84.50000
AVAZ,D,20000328,000000,80.00000,80.00000,80.00000,80.00000
AVAZ,D,20000330,000000,85.00000,85.00000,85.00000,85.00000
AVAZ,D,20000404,000000,85.00000,85.00000,85.00000,85.00000
AVAZ,D,20000406,000000,75.00000,75.00000,75.00000,75.00000
AVAZ,D,20000410,000000,85.00000,85.00000,85.00000,85.00000
AVAZ,D,20000414,000000,81.00000,81.00000,81.00000,81.00000
AVAZ,D,20000417,000000,80.00000,80.00000,80.00000,80.00000
AVAZ,D,20000424,000000,77.00000,77.00000,77.00000,77.00000
AVAZ,D,20000426,000000,82.00000,90.00000,82.00000,90.00000
AVAZ,D,20000512,000000,75.00000,75.00000,75.00000,75.00000
AVAZ,D,20000516,000000,80.00000,80.00000,80.00000,80.00000
AVAZ,D,20000517,000000,80.00000,80.00000,80.00000,80.00000
AVAZ,D,20000519,000000,80.00000,80.00000,80.00000,80.00000
AVAZ,D,20000605,000000,61.00000,61.00000,61.00000,61.00000
AVAZ,D,20000606,000000,61.00000,61.00000,61.00000,61.00000
AVAZ,D,20000613,000000,62.00000,62.00000,62.00000,62.00000
AVAZ,D,20000620,000000,46.00000,46.00000,46.00000,46.00000
AVAZ,D,20000621,000000,50.00000,50.00000,50.00000,50.00000
AVAZ,D,20000623,000000,50.00000,50.00000,50.00000,50.00000
AVAZ,D,20000626,000000,48.00000,48.00000,48.00000,48.00000
AVAZ,D,20000627,000000,48.00000,48.00000,48.00000,48.00000
AVAZ,D,20000726,000000,44.22000,44.22000,44.22000,44.22000
AVAZ,D,20000731,000000,52.82000,61.00000,52.82000,61.00000
AVAZ,D,20000808,000000,65.16000,65.16000,65.16000,65.16000
AVAZ,D,20000811,000000,65.00000,65.00000,65.00000,65.00000
AVAZ,D,20000821,000000,57.00000,57.00000,57.00000,57.00000
AVAZ,D,20000825,000000,63.00000,63.00000,63.00000,63.00000
AVAZ,D,20000829,000000,64.00000,69.50000,64.00000,69.50000
AVAZ,D,20000905,000000,69.00000,69.00000,69.00000,69.00000
AVAZ,D,20000906,000000,64.00000,64.00000,64.00000,64.00000
AVAZ,D,20000911,000000,66.80000,66.80000,66.80000,66.80000
AVAZ,D,20000912,000000,64.10000,64.10000,64.00000,64.00000
AVAZ,D,20000913,000000,61.00000,61.00000,61.00000,61.00000
AVAZ,D,20000914,000000,61.00000,61.00000,60.00000,60.00000
AVAZ,D,20000921,000000,62.00000,62.00000,61.20000,61.20000
AVAZ,D,20001004,000000,60.00000,60.00000,58.00000,58.00000
AVAZ,D,20001005,000000,52.00000,52.00000,52.00000,52.00000
AVAZ,D,20001011,000000,50.00000,50.00000,50.00000,50.00000
AVAZ,D,20001012,000000,46.00000,46.00000,45.00000,45.00000
AVAZ,D,20001013,000000,50.00000,50.00000,50.00000,50.00000
AVAZ,D,20001018,000000,46.00000,46.00000,46.00000,46.00000
AVAZ,D,20001025,000000,44.00000,49.00000,44.00000,49.00000
AVAZ,D,20001101,000000,54.50000,54.50000,54.50000,54.50000
AVAZ,D,20001110,000000,47.00000,47.00000,47.00000,47.00000
AVAZ,D,20001113,000000,46.00000,51.00000,44.00000,51.00000
AVAZ,D,20001114,000000,51.00000,51.00000,51.00000,51.00000
AVAZ,D,20001121,000000,48.00000,54.00000,48.00000,51.00000
AVAZ,D,20001127,000000,52.00000,52.00000,52.00000,52.00000
AVAZ,D,20001215,000000,52.00000,52.00000,52.00000,52.00000
AVAZ,D,20001226,000000,51.00000,52.00000,51.00000,52.00000
AVAZ,D,20001227,000000,55.00000,55.00000,55.00000,55.00000
AVAZ,D,20001228,000000,58.00000,58.00000,58.00000,58.00000
AVAZ,D,20010112,000000,51.20000,51.20000,51.20000,51.20000
AVAZ,D,20010115,000000,48.00000,51.00000,48.00000,51.00000
AVAZ,D,20010122,000000,50.00000,50.00000,50.00000,50.00000
AVAZ,D,20010125,000000,49.00000,49.00000,49.00000,49.00000
AVAZ,D,20010131,000000,51.00000,52.00000,51.00000,52.00000
AVAZ,D,20010201,000000,52.00000,52.00000,52.00000,52.00000
AVAZ,D,20010205,000000,48.00000,48.00000,48.00000,48.00000
AVAZ,D,20010207,000000,49.00000,50.00000,49.00000,50.00000
AVAZ,D,20010208,000000,53.00000,53.00000,49.00000,53.00000
AVAZ,D,20010209,000000,53.00000,54.00000,53.00000,54.00000
AVAZ,D,20010212,000000,53.00000,53.90000,53.00000,53.90000
AVAZ,D,20010213,000000,52.50000,58.00000,52.50000,58.00000
AVAZ,D,20010214,000000,60.00000,70.00000,60.00000,70.00000
AVAZ,D,20010215,000000,72.50000,110.00000,72.50000,110.00000
AVAZ,D,20010216,000000,107.44000,111.00000,107.00000,107.00000
AVAZ,D,20010219,000000,114.00000,120.00000,114.00000,120.00000
AVAZ,D,20010220,000000,120.00000,150.00000,120.00000,148.00000
AVAZ,D,20010221,000000,135.00000,145.00000,130.00000,130.00000
AVAZ,D,20010223,000000,101.00000,105.00000,100.00000,105.00000
AVAZ,D,20010226,000000,100.00000,106.00000,100.00000,105.00000
AVAZ,D,20010227,000000,107.00000,108.50000,104.01000,108.50000
AVAZ,D,20010228,000000,106.00000,106.30000,106.00000,106.20000
AVAZ,D,20010301,000000,106.00000,106.00000,106.00000,106.00000
AVAZ,D,20010302,000000,106.00000,106.00000,106.00000,106.00000
AVAZ,D,20010305,000000,100.00000,112.00000,100.00000,112.00000
AVAZ,D,20010306,000000,115.00000,123.50000,106.00000,106.00000
AVAZ,D,20010307,000000,105.00000,111.50000,105.00000,110.00000
AVAZ,D,20010311,000000,122.00000,122.00000,110.00000,114.50000
AVAZ,D,20010312,000000,106.00000,116.00000,106.00000,115.00000
AVAZ,D,20010313,000000,108.00000,108.00000,106.10000,106.10000
AVAZ,D,20010314,000000,110.00000,110.00000,107.20000,107.20000
AVAZ,D,20010315,000000,112.00000,119.00000,112.00000,119.00000
AVAZ,D,20010316,000000,128.00000,145.00000,128.00000,134.00000
AVAZ,D,20010319,000000,135.00000,135.00000,120.00000,120.00000
AVAZ,D,20010320,000000,125.00000,125.00000,125.00000,125.00000
AVAZ,D,20010321,000000,120.00000,131.89000,118.50000,131.89000
AVAZ,D,20010322,000000,133.50000,140.00000,133.50000,140.00000
AVAZ,D,20010323,000000,140.00000,140.00000,135.00000,135.00000
AVAZ,D,20010327,000000,130.00000,130.00000,126.50000,129.00000
AVAZ,D,20010328,000000,127.05000,127.05000,127.05000,127.05000
AVAZ,D,20010330,000000,123.01000,127.00000,123.00000,125.10000
AVAZ,D,20010402,000000,123.00000,128.00000,123.00000,126.50000
AVAZ,D,20010403,000000,120.00000,124.00000,120.00000,121.01000
AVAZ,D,20010404,000000,120.00000,124.00000,120.00000,124.00000
AVAZ,D,20010405,000000,120.00000,128.00000,120.00000,128.00000
AVAZ,D,20010406,000000,124.00000,129.00000,124.00000,129.00000
AVAZ,D,20010409,000000,123.50000,123.50000,120.50000,120.50000
AVAZ,D,20010410,000000,121.00000,125.00000,120.00000,122.00000
AVAZ,D,20010411,000000,122.01000,122.50000,121.00000,122.50000
AVAZ,D,20010412,000000,122.22000,122.22000,122.22000,122.22000
AVAZ,D,20010413,000000,122.00000,122.00000,122.00000,122.00000
AVAZ,D,20010416,000000,123.50000,123.50000,122.00000,122.00000
AVAZ,D,20010417,000000,121.00000,127.00000,120.00000,127.00000
AVAZ,D,20010418,000000,128.50000,160.00000,124.00000,150.00000
AVAZ,D,20010419,000000,150.00000,150.00000,142.00000,148.00000
AVAZ,D,20010420,000000,135.00000,144.00000,133.01000,133.01000
AVAZ,D,20010423,000000,131.00000,132.01000,131.00000,132.00000
AVAZ,D,20010424,000000,135.50000,139.99000,135.50000,139.99000
AVAZ,D,20010425,000000,140.00000,140.00000,140.00000,140.00000
AVAZ,D,20010426,000000,133.02000,138.50000,133.02000,138.50000
AVAZ,D,20010427,000000,135.11000,137.11000,135.01000,135.10000
AVAZ,D,20010428,000000,133.10000,133.10000,132.00000,132.00000
AVAZ,D,20010503,000000,137.41000,137.50000,137.41000,137.50000
AVAZ,D,20010504,000000,137.50000,137.50000,132.55000,132.55000
AVAZ,D,20010507,000000,132.00000,132.55000,131.00000,131.00000
AVAZ,D,20010508,000000,135.50000,137.50000,132.00000,132.55000
AVAZ,D,20010510,000000,133.00000,134.99000,132.55000,134.99000
AVAZ,D,20010514,000000,130.00000,131.00000,130.00000,131.00000
AVAZ,D,20010515,000000,132.00000,134.01000,132.00000,134.01000
AVAZ,D,20010516,000000,132.00000,135.00000,131.00000,135.00000
AVAZ,D,20010517,000000,135.00000,154.10000,135.00000,154.05000
AVAZ,D,20010518,000000,149.00000,155.00000,132.00000,155.00000
AVAZ,D,20010521,000000,164.00000,164.00000,155.00000,155.00000
AVAZ,D,20010522,000000,159.90000,175.00000,159.90000,172.00000
AVAZ,D,20010523,000000,178.00000,190.00000,178.00000,190.00000
AVAZ,D,20010524,000000,180.00000,180.00000,174.50000,174.50000
AVAZ,D,20010525,000000,176.00000,189.00000,173.00000,182.00000
AVAZ,D,20010528,000000,175.00000,175.00000,175.00000,175.00000
AVAZ,D,20010530,000000,173.00000,180.00000,172.00000,175.00000
AVAZ,D,20010531,000000,181.89000,181.90000,181.89000,181.90000
AVAZ,D,20010601,000000,175.00000,178.00000,173.00000,178.00000
AVAZ,D,20010604,000000,182.00000,182.00000,176.00000,177.99000
AVAZ,D,20010605,000000,177.80000,177.90000,174.99000,174.99000
AVAZ,D,20010606,000000,169.00000,171.90000,167.00000,171.00000
AVAZ,D,20010607,000000,174.00000,227.00000,174.00000,227.00000
AVAZ,D,20010608,000000,225.00000,230.00000,203.01000,207.98000
AVAZ,D,20010609,000000,200.00000,207.90000,200.00000,201.00000
AVAZ,D,20010613,000000,203.80000,204.00000,198.00000,204.00000
AVAZ,D,20010614,000000,201.00000,201.00000,195.00000,195.00000
AVAZ,D,20010615,000000,193.10000,199.90000,193.10000,199.90000
AVAZ,D,20010618,000000,196.00000,199.00000,190.00000,197.00000
AVAZ,D,20010619,000000,195.00000,211.00000,193.00000,211.00000
AVAZ,D,20010620,000000,200.00000,203.50000,199.10000,199.10000
AVAZ,D,20010621,000000,204.00000,207.00000,200.00000,200.00000
AVAZ,D,20010622,000000,200.00000,203.00000,200.00000,202.50000
AVAZ,D,20010625,000000,200.01000,203.89000,199.00000,200.25000
AVAZ,D,20010626,000000,201.00000,204.89000,201.00000,202.14000
AVAZ,D,20010627,000000,205.00000,206.99000,202.50000,203.40000
AVAZ,D,20010628,000000,205.80000,209.49000,202.50000,208.00000
AVAZ,D,20010629,000000,207.98000,207.98000,203.10000,204.00000
AVAZ,D,20010702,000000,204.50000,206.79000,204.02000,204.12000
AVAZ,D,20010703,000000,203.06000,206.82000,203.00000,204.28000
AVAZ,D,20010704,000000,203.55000,208.00000,203.23000,208.00000
AVAZ,D,20010705,000000,217.99000,217.99000,205.50000,209.99000
AVAZ,D,20010706,000000,220.00000,220.00000,205.00000,207.50000
AVAZ,D,20010709,000000,200.00000,212.99000,200.00000,212.99000
AVAZ,D,20010710,000000,212.00000,212.99000,208.02000,208.02000
AVAZ,D,20010711,000000,206.00000,215.00000,202.00000,215.00000
AVAZ,D,20010712,000000,210.00000,210.00000,203.28000,203.28000
AVAZ,D,20010713,000000,202.57000,212.00000,202.57000,211.97000
AVAZ,D,20010716,000000,214.46000,234.00000,213.07000,234.00000
AVAZ,D,20010717,000000,244.97000,274.00000,244.97000,260.51000
AVAZ,D,20010718,000000,272.00000,283.90000,265.10000,268.99000
AVAZ,D,20010719,000000,265.00000,266.00000,260.00000,262.00000
AVAZ,D,20010720,000000,263.00000,263.00000,252.00000,255.00000
AVAZ,D,20010723,000000,255.00000,257.00000,247.00000,257.00000
AVAZ,D,20010724,000000,259.00000,260.00000,250.01000,252.07000
AVAZ,D,20010725,000000,250.10000,263.87000,250.00000,263.87000
AVAZ,D,20010726,000000,269.60000,270.00000,256.13000,270.00000
AVAZ,D,20010727,000000,267.00000,272.47000,265.50000,272.47000
AVAZ,D,20010730,000000,267.00000,267.00000,260.00000,260.00000
AVAZ,D,20010731,000000,266.49000,266.49000,256.50000,256.50000
AVAZ,D,20010801,000000,263.90000,263.90000,255.00000,262.70000
AVAZ,D,20010802,000000,254.00000,254.00000,248.02000,248.02000
AVAZ,D,20010803,000000,269.95000,269.95000,247.01000,253.00000
AVAZ,D,20010806,000000,251.99000,254.70000,246.00000,250.00000
AVAZ,D,20010807,000000,277.00000,277.00000,240.01000,253.00000
AVAZ,D,20010808,000000,262.00000,262.00000,244.01000,245.01000
AVAZ,D,20010809,000000,240.01000,255.00000,240.01000,255.00000
AVAZ,D,20010810,000000,252.00000,252.00000,250.00000,252.00000
AVAZ,D,20010813,000000,258.00000,258.00000,250.50000,255.00000
AVAZ,D,20010814,000000,250.15000,251.02000,250.00000,250.00000
AVAZ,D,20010815,000000,249.50000,250.00000,249.50000,250.00000
AVAZ,D,20010816,000000,248.00000,251.00000,245.10000,250.00000
AVAZ,D,20010817,000000,253.00000,256.00000,253.00000,255.50000
AVAZ,D,20010820,000000,250.70000,250.70000,250.00000,250.00000
AVAZ,D,20010821,000000,269.50000,270.00000,255.00000,255.00000
AVAZ,D,20010822,000000,255.00000,278.99000,251.00000,275.00000
AVAZ,D,20010823,000000,278.50000,302.99000,278.50000,294.00000
AVAZ,D,20010824,000000,304.00000,304.00000,287.00000,302.00000
AVAZ,D,20010827,000000,307.00000,307.00000,293.50000,301.00000
AVAZ,D,20010828,000000,299.50000,320.00000,295.60000,318.00000
AVAZ,D,20010829,000000,308.00000,313.90000,303.00000,313.20000
AVAZ,D,20010830,000000,315.00000,350.00000,310.05000,310.25000
AVAZ,D,20010831,000000,323.00000,336.00000,312.00000,336.00000
AVAZ,D,20010903,000000,330.00000,345.00000,330.00000,342.00000
AVAZ,D,20010904,000000,350.00000,365.00000,348.00000,352.90000
AVAZ,D,20010905,000000,340.00000,380.00000,340.00000,379.89000
AVAZ,D,20010906,000000,390.00000,394.00000,359.00000,374.00000
AVAZ,D,20010907,000000,379.00000,380.00000,363.00000,369.00000
AVAZ,D,20010910,000000,370.00000,380.00000,357.00000,368.00000
AVAZ,D,20010911,000000,355.00000,365.00000,351.51000,351.51000
AVAZ,D,20010912,000000,275.00000,360.00000,275.00000,315.00000
AVAZ,D,20010913,000000,315.00000,320.85000,311.00000,318.00000
AVAZ,D,20010914,000000,316.50000,316.50000,301.01000,303.00000
AVAZ,D,20010917,000000,301.00000,301.20000,295.00000,300.00000
AVAZ,D,20010918,000000,309.00000,309.00000,301.00000,307.99000
AVAZ,D,20010919,000000,310.00000,315.00000,307.60000,311.40000
AVAZ,D,20010920,000000,310.00000,312.00000,308.05000,308.05000
AVAZ,D,20010921,000000,305.00000,305.00000,295.10000,297.15000
AVAZ,D,20010924,000000,303.00000,309.90000,302.60000,305.00000
AVAZ,D,20010925,000000,302.00000,302.00000,297.50000,298.60000
AVAZ,D,20010926,000000,301.50000,301.50000,297.00000,300.00000
AVAZ,D,20010927,000000,299.80000,299.80000,297.30000,299.69000
AVAZ,D,20010928,000000,298.05000,305.00000,298.05000,300.00000
AVAZ,D,20011001,000000,302.01000,302.01000,299.80000,299.81000
AVAZ,D,20011002,000000,300.00000,304.50000,300.00000,301.50000
AVAZ,D,20011003,000000,298.91000,301.99000,298.02000,300.88000
AVAZ,D,20011004,000000,301.95000,334.90000,301.95000,325.00000
AVAZ,D,20011005,000000,316.05000,324.50000,316.00000,320.30000
AVAZ,D,20011008,000000,310.00000,315.00000,310.00000,314.00000
AVAZ,D,20011009,000000,315.00000,319.99000,310.00000,314.00000
AVAZ,D,20011010,000000,321.00000,321.00000,311.05000,317.30000
AVAZ,D,20011011,000000,319.00000,320.00000,313.00000,316.90000
AVAZ,D,20011012,000000,315.60000,317.95000,310.00000,317.95000
AVAZ,D,20011015,000000,312.00000,315.00000,311.00000,311.00000
AVAZ,D,20011016,000000,311.00000,321.50000,310.00000,319.60000
AVAZ,D,20011017,000000,317.00000,326.90000,317.00000,320.99000
AVAZ,D,20011018,000000,315.00000,316.00000,310.50000,311.00000
AVAZ,D,20011019,000000,311.00000,313.00000,310.00000,311.75000
AVAZ,D,20011022,000000,315.00000,315.00000,310.00000,311.50000
AVAZ,D,20011023,000000,311.76000,315.90000,311.01000,312.62000
AVAZ,D,20011024,000000,312.11000,313.00000,312.11000,312.20000
AVAZ,D,20011025,000000,313.90000,316.01000,311.77000,311.77000
AVAZ,D,20011026,000000,312.51000,320.00000,312.51000,315.00000
AVAZ,D,20011029,000000,315.00000,315.00000,312.80000,314.00000
AVAZ,D,20011030,000000,312.70000,315.50000,310.01000,313.12000
AVAZ,D,20011031,000000,313.60000,316.60000,313.00000,314.50000
AVAZ,D,20011101,000000,315.00000,321.50000,315.00000,320.00000
AVAZ,D,20011102,000000,321.00000,329.48000,321.00000,323.75000
AVAZ,D,20011105,000000,323.01000,330.50000,323.01000,329.00000
AVAZ,D,20011106,000000,330.00000,334.00000,325.70000,329.22000
AVAZ,D,20011108,000000,330.00000,337.90000,328.50000,331.00000
AVAZ,D,20011109,000000,331.40000,349.98000,330.00000,340.00000
AVAZ,D,20011112,000000,347.50000,380.00000,341.00000,363.90000
AVAZ,D,20011113,000000,370.00000,418.00000,370.00000,418.00000
AVAZ,D,20011114,000000,425.00000,449.00000,425.00000,438.23000
AVAZ,D,20011115,000000,348.00000,438.00000,348.00000,430.00000
AVAZ,D,20011116,000000,432.00000,438.00000,430.00000,433.75000
AVAZ,D,20011119,000000,426.50000,449.99000,426.50000,437.75000
AVAZ,D,20011120,000000,435.00000,450.00000,435.00000,449.00000
AVAZ,D,20011121,000000,448.60000,468.00000,448.50000,468.00000
AVAZ,D,20011122,000000,470.00000,496.50000,470.00000,493.52000
AVAZ,D,20011123,000000,460.00000,493.00000,460.00000,480.00000
AVAZ,D,20011126,000000,485.00000,485.00000,471.00000,475.50000
AVAZ,D,20011127,000000,480.00000,482.50000,467.00000,468.40000
AVAZ,D,20011128,000000,466.20000,466.20000,450.00000,460.00000
AVAZ,D,20011129,000000,451.10000,451.10000,445.00000,445.00000
AVAZ,D,20011130,000000,441.00000,463.20000,441.00000,455.00000
AVAZ,D,20011203,000000,455.02000,467.90000,450.00000,452.00000
AVAZ,D,20011204,000000,454.86000,479.00000,454.86000,479.00000
AVAZ,D,20011205,000000,462.00000,475.90000,462.00000,472.00000
AVAZ,D,20011206,000000,480.00000,496.00000,479.90000,491.00000
AVAZ,D,20011207,000000,490.00000,497.95000,487.00000,496.80000
AVAZ,D,20011210,000000,498.50000,498.50000,485.00000,485.01000
AVAZ,D,20011211,000000,480.00000,494.00000,479.00000,485.00000
AVAZ,D,20011213,000000,485.00000,487.00000,450.00000,477.00000
AVAZ,D,20011214,000000,470.00000,481.59000,465.00000,481.58000
AVAZ,D,20011217,000000,484.00000,486.90000,480.20000,480.30000
AVAZ,D,20011218,000000,480.00000,515.00000,480.00000,506.00000
AVAZ,D,20011219,000000,506.00000,512.00000,495.00000,505.00000
AVAZ,D,20011220,000000,508.00000,510.00000,500.00000,508.99000
AVAZ,D,20011221,000000,506.00000,506.00000,496.00000,496.00000
AVAZ,D,20011224,000000,495.00000,518.99000,495.00000,518.99000
AVAZ,D,20011225,000000,520.00000,520.00000,506.01000,515.00000
AVAZ,D,20011226,000000,535.00000,535.00000,514.99000,524.00000
AVAZ,D,20011227,000000,519.78000,523.00000,515.00000,522.00000
AVAZ,D,20011228,000000,522.00000,523.00000,518.50000,521.00000
AVAZ,D,20011229,000000,516.00000,562.00000,516.00000,550.00000
AVAZ,D,20020103,000000,549.00000,582.00000,528.00000,582.00000
AVAZ,D,20020104,000000,599.00000,599.00000,571.00000,595.00000
AVAZ,D,20020108,000000,595.00000,617.00000,592.00000,615.94000
AVAZ,D,20020109,000000,610.00000,614.00000,598.00000,605.00000
AVAZ,D,20020110,000000,605.00000,607.00000,582.06000,585.00000
AVAZ,D,20020111,000000,596.00000,596.00000,575.01000,581.99000
AVAZ,D,20020114,000000,578.00000,585.00000,565.01000,572.10000
AVAZ,D,20020115,000000,573.00000,580.00000,570.00000,576.00000
AVAZ,D,20020116,000000,574.10000,579.00000,571.50000,573.75000
AVAZ,D,20020117,000000,575.00000,577.99000,574.02000,577.35000
AVAZ,D,20020118,000000,575.00000,580.00000,574.00000,575.50000
AVAZ,D,20020121,000000,573.75000,579.34000,573.75000,575.03000
AVAZ,D,20020122,000000,578.40000,579.95000,576.00000,578.00000
AVAZ,D,20020123,000000,577.00000,579.00000,576.15000,577.07000
AVAZ,D,20020124,000000,577.00000,577.00000,564.00000,564.00000
AVAZ,D,20020125,000000,505.11000,572.50000,505.11000,545.20000
AVAZ,D,20020128,000000,570.00000,573.00000,558.32000,559.00000
AVAZ,D,20020129,000000,585.00000,595.00000,581.00000,586.01000
AVAZ,D,20020130,000000,580.20000,588.99000,580.00000,584.90000
AVAZ,D,20020131,000000,587.30000,587.98000,582.00000,582.00000
AVAZ,D,20020201,000000,575.00000,596.58000,575.00000,585.00000
AVAZ,D,20020204,000000,590.00000,590.00000,580.00000,582.10000
AVAZ,D,20020205,000000,582.00000,593.00000,580.00000,587.00000
AVAZ,D,20020206,000000,589.72000,720.00000,589.72000,700.00000
AVAZ,D,20020207,000000,711.03000,825.00000,682.05000,755.00000
AVAZ,D,20020208,000000,710.00000,804.90000,710.00000,782.00000
AVAZ,D,20020211,000000,800.00000,818.00000,755.00000,783.94000
AVAZ,D,20020212,000000,765.00000,787.50000,755.00000,759.02000
AVAZ,D,20020213,000000,752.00000,778.00000,735.00000,775.00000
AVAZ,D,20020214,000000,763.00000,810.00000,763.00000,793.00000
AVAZ,D,20020215,000000,793.00000,815.00000,793.00000,803.12000
AVAZ,D,20020218,000000,800.00000,813.98000,800.00000,803.49000
AVAZ,D,20020219,000000,800.51000,807.99000,799.00000,800.99000
AVAZ,D,20020220,000000,800.92000,800.92000,779.00000,794.50000
AVAZ,D,20020221,000000,800.92000,827.99000,782.00000,810.01000
AVAZ,D,20020222,000000,820.00000,824.00000,806.75000,815.00000
AVAZ,D,20020226,000000,820.00000,854.00000,811.00000,846.00000
AVAZ,D,20020227,000000,855.00000,899.00000,850.00000,897.00000
AVAZ,D,20020228,000000,900.00000,939.00000,895.00000,895.02000
AVAZ,D,20020301,000000,904.98000,920.00000,880.00000,897.00000
AVAZ,D,20020304,000000,910.00000,994.00000,899.00000,930.00000
AVAZ,D,20020305,000000,950.00000,976.99000,920.00000,950.00000
AVAZ,D,20020306,000000,930.01000,1099.99000,930.01000,1050.00000
AVAZ,D,20020307,000000,1069.00000,1097.00000,1019.00000,1030.00000
AVAZ,D,20020311,000000,1028.00000,1049.80000,1020.00000,1020.00000
AVAZ,D,20020312,000000,1035.00000,1122.00000,1001.00000,1041.90000
AVAZ,D,20020313,000000,1055.00000,1085.00000,1050.00000,1060.00000
AVAZ,D,20020314,000000,1059.00000,1127.00000,1050.00000,1080.00000
AVAZ,D,20020315,000000,1080.02000,1099.00000,1060.00000,1060.00000
AVAZ,D,20020318,000000,1065.00000,1078.00000,1036.00000,1056.00000
AVAZ,D,20020319,000000,1065.00000,1070.00000,1050.00000,1053.50000
AVAZ,D,20020320,000000,1050.00000,1090.00000,1025.01000,1060.00000
AVAZ,D,20020321,000000,1060.00000,1089.00000,1060.00000,1071.00000
AVAZ,D,20020322,000000,1080.00000,1089.98000,1043.00000,1060.79000
