<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,D,20060123,000000,239.00000,239.00000,218.49000,218.89000
GAZP,D,20060124,000000,220.50000,224.68000,219.66000,224.00000
GAZP,D,20060125,000000,225.20000,231.00000,225.00000,228.38000
GAZP,D,20060126,000000,228.90000,229.41000,223.51000,224.47000
GAZP,D,20060127,000000,226.20000,231.50000,224.00000,228.75000
GAZP,D,20060130,000000,231.07000,231.07000,215.00000,216.00000
GAZP,D,20060131,000000,218.00000,224.23000,215.71000,219.02000
GAZP,D,20060201,000000,219.50000,223.99000,215.00000,223.99000
GAZP,D,20060202,000000,223.90000,224.50000,220.00000,221.50000
GAZP,D,20060203,000000,218.75000,221.30000,217.01000,221.01000
GAZP,D,20060206,000000,221.75000,222.45000,219.16000,220.45000
GAZP,D,20060207,000000,219.90000,220.70000,218.20000,220.50000
GAZP,D,20060208,000000,219.00000,221.59000,215.50000,221.00000
GAZP,D,20060209,000000,221.49000,224.80000,220.50000,222.00000
GAZP,D,20060210,000000,222.58000,223.60000,221.51000,222.00000
GAZP,D,20060213,000000,221.95000,222.00000,218.57000,219.95000
GAZP,D,20060214,000000,219.75000,220.85000,218.60000,219.89000
GAZP,D,20060215,000000,219.80000,220.00000,218.83000,219.78000
GAZP,D,20060216,000000,219.88000,220.47000,218.93000,220.00000
GAZP,D,20060217,000000,220.50000,227.33000,220.50000,226.50000
GAZP,D,20060220,000000,227.37000,229.99000,227.37000,228.20000
GAZP,D,20060221,000000,230.01000,230.16000,224.55000,225.00000
GAZP,D,20060222,000000,225.45000,226.50000,224.11000,225.38000
GAZP,D,20060226,000000,226.00000,229.60000,225.38000,227.38000
GAZP,D,20060227,000000,227.80000,228.20000,225.05000,225.21000
GAZP,D,20060228,000000,225.30000,225.30000,217.01000,218.79000
GAZP,D,20060301,000000,219.00000,220.50000,214.60000,217.98000
GAZP,D,20060302,000000,218.75000,220.86000,217.50000,218.98000
GAZP,D,20060303,000000,220.17000,228.90000,220.00000,228.90000
GAZP,D,20060306,000000,230.10000,239.37000,230.10000,231.99000
GAZP,D,20060307,000000,230.21000,230.50000,221.97000,223.86000
GAZP,D,20060309,000000,219.97000,221.80000,215.11000,219.20000
GAZP,D,20060310,000000,219.57000,221.88000,216.30000,217.11000
GAZP,D,20060313,000000,219.19000,223.49000,218.21000,223.30000
GAZP,D,20060314,000000,224.77000,225.55000,218.22000,220.35000
GAZP,D,20060315,000000,222.15000,223.30000,219.55000,221.23000
GAZP,D,20060316,000000,221.50000,223.00000,219.40000,220.70000
GAZP,D,20060317,000000,222.07000,229.49000,221.41000,229.30000
GAZP,D,20060320,000000,229.99000,232.20000,224.50000,225.75000
GAZP,D,20060321,000000,224.50000,227.20000,222.60000,224.40000
GAZP,D,20060322,000000,225.60000,225.60000,223.70000,225.19000
GAZP,D,20060323,000000,225.50000,228.25000,225.30000,226.50000
GAZP,D,20060324,000000,226.88000,229.91000,225.55000,229.90000
GAZP,D,20060327,000000,230.56000,235.28000,229.16000,231.63000
GAZP,D,20060328,000000,231.51000,232.00000,227.79000,228.45000
GAZP,D,20060329,000000,228.00000,229.30000,227.00000,228.62000
GAZP,D,20060330,000000,230.20000,231.49000,229.50000,230.40000
GAZP,D,20060331,000000,230.50000,233.40000,229.50000,230.15000
GAZP,D,20060403,000000,230.98000,232.20000,230.10000,230.50000
GAZP,D,20060404,000000,231.70000,232.80000,230.50000,231.52000
GAZP,D,20060405,000000,232.00000,240.70000,231.55000,238.50000
GAZP,D,20060406,000000,240.20000,244.69000,240.00000,243.30000
GAZP,D,20060407,000000,242.00000,251.00000,241.50000,250.29000
GAZP,D,20060410,000000,253.03000,268.90000,252.00000,268.70000
GAZP,D,20060411,000000,270.40000,275.42000,262.40000,262.50000
GAZP,D,20060412,000000,262.00000,265.99000,258.35000,264.70000
GAZP,D,20060413,000000,266.07000,266.70000,259.81000,263.49000
GAZP,D,20060414,000000,264.90000,268.00000,262.30000,267.90000
GAZP,D,20060417,000000,269.00000,271.48000,267.53000,269.45000
GAZP,D,20060418,000000,271.00000,273.29000,270.30000,271.69000
GAZP,D,20060419,000000,273.40000,278.30000,273.35000,278.29000
