<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
HYDR,D,20080522,000000,2.19500,2.19500,2.09200,2.10400
HYDR,D,20080523,000000,2.12100,2.17500,2.11300,2.14000
HYDR,D,20080526,000000,2.15800,2.16900,2.12900,2.14300
HYDR,D,20080527,000000,2.14000,2.15100,2.09500,2.12000
HYDR,D,20080528,000000,2.11500,2.14100,2.09200,2.10700
HYDR,D,20080529,000000,2.11400,2.12400,2.09300,2.10400
HYDR,D,20080530,000000,2.10500,2.14900,2.10000,2.11500
HYDR,D,20080602,000000,2.11600,2.15500,2.10000,2.13100
HYDR,D,20080603,000000,2.11300,2.18500,2.11300,2.17700
HYDR,D,20080604,000000,2.18700,2.19900,2.14100,2.15000
HYDR,D,20080605,000000,2.15200,2.16600,2.11300,2.11300
HYDR,D,20080606,000000,2.13400,2.13900,2.03200,2.06000
HYDR,D,20080607,000000,2.04400,2.04800,1.97100,1.98000
HYDR,D,20080609,000000,1.98000,2.07900,1.95000,2.06100
HYDR,D,20080610,000000,2.06300,2.10600,2.06000,2.07000
HYDR,D,20080611,000000,2.08000,2.08000,2.05000,2.06100
HYDR,D,20080616,000000,2.06900,2.08000,2.01500,2.02700
HYDR,D,20080617,000000,2.03000,2.06100,2.01200,2.03600
HYDR,D,20080618,000000,2.05000,2.07000,2.01500,2.02800
HYDR,D,20080619,000000,2.02800,2.03500,2.00000,2.01200
HYDR,D,20080620,000000,2.01300,2.02700,1.97500,1.99400
HYDR,D,20080623,000000,1.97500,2.02100,1.96700,2.01200
HYDR,D,20080624,000000,2.04000,2.04000,1.97300,1.99000
HYDR,D,20080625,000000,1.99500,2.00000,1.97700,1.98500
HYDR,D,20080626,000000,1.99700,1.99700,1.86000,1.88000
HYDR,D,20080627,000000,1.85000,1.86800,1.81100,1.85100
HYDR,D,20080630,000000,1.85200,1.87000,1.78500,1.83800
HYDR,D,20080701,000000,1.84000,1.87000,1.78100,1.79100
HYDR,D,20080702,000000,1.81000,1.81600,1.77100,1.77900
HYDR,D,20080703,000000,1.78000,1.78000,1.72000,1.74000
HYDR,D,20080704,000000,1.74900,1.75800,1.63800,1.64700
HYDR,D,20080707,000000,1.65000,1.73800,1.63000,1.70800
HYDR,D,20080708,000000,1.70700,1.70700,1.59500,1.60300
HYDR,D,20080709,000000,1.61500,1.64600,1.59000,1.60600
HYDR,D,20080710,000000,1.60000,1.61000,1.58100,1.59200
HYDR,D,20080711,000000,1.59600,1.62500,1.52000,1.53400
HYDR,D,20080714,000000,1.53400,1.58000,1.51700,1.55100
HYDR,D,20080715,000000,1.52100,1.54100,1.50700,1.51400
HYDR,D,20080716,000000,1.52100,1.53100,1.47000,1.48500
HYDR,D,20080717,000000,1.49900,1.52600,1.45000,1.47200
HYDR,D,20080718,000000,1.48000,1.48000,1.45500,1.45900
HYDR,D,20080721,000000,1.45900,1.47900,1.45300,1.46400
HYDR,D,20080722,000000,1.45500,1.46400,1.45000,1.45400
HYDR,D,20080723,000000,1.46200,1.47400,1.40100,1.41700
HYDR,D,20080724,000000,1.41000,1.43900,1.34000,1.40000
HYDR,D,20080725,000000,1.38900,1.45000,1.31100,1.42900
HYDR,D,20080728,000000,1.44400,1.48900,1.39500,1.40000
HYDR,D,20080729,000000,1.40000,1.41000,1.37000,1.40000
HYDR,D,20080730,000000,1.40000,1.49700,1.40000,1.48600
HYDR,D,20080731,000000,1.49900,1.57600,1.46700,1.52000
HYDR,D,20080801,000000,1.51200,1.58000,1.51200,1.55000
HYDR,D,20080804,000000,1.53000,1.56900,1.52000,1.52900
HYDR,D,20080805,000000,1.52100,1.52100,1.45700,1.50000
HYDR,D,20080806,000000,1.53000,1.54700,1.46000,1.50800
HYDR,D,20080807,000000,1.50000,1.57400,1.50000,1.55000
HYDR,D,20080808,000000,1.53000,1.60000,1.47600,1.48500
HYDR,D,20080811,000000,1.46800,1.51200,1.40100,1.50800
HYDR,D,20080812,000000,1.51400,1.58500,1.49000,1.57200
HYDR,D,20080813,000000,1.58000,1.58900,1.55100,1.57100
HYDR,D,20080814,000000,1.58500,1.72000,1.58500,1.66700
HYDR,D,20080815,000000,1.69400,1.73900,1.66000,1.73300
HYDR,D,20080818,000000,1.73400,1.74800,1.70300,1.72400
HYDR,D,20080819,000000,1.70000,1.70700,1.57000,1.62000
HYDR,D,20080820,000000,1.63000,1.66000,1.60000,1.65700
HYDR,D,20080821,000000,1.65900,1.65900,1.57000,1.63700
HYDR,D,20080822,000000,1.64900,1.66700,1.61100,1.62900
HYDR,D,20080825,000000,1.62900,1.63400,1.53500,1.54000
HYDR,D,20080826,000000,1.51000,1.53000,1.42000,1.46700
HYDR,D,20080827,000000,1.48000,1.53000,1.48000,1.51200
HYDR,D,20080828,000000,1.52000,1.60000,1.51500,1.58300
HYDR,D,20080829,000000,1.58000,1.72100,1.58000,1.67900
HYDR,D,20080901,000000,1.66900,1.70700,1.63000,1.65300
HYDR,D,20080902,000000,1.65100,1.70000,1.64100,1.68400
HYDR,D,20080903,000000,1.67000,1.69400,1.63000,1.66600
HYDR,D,20080904,000000,1.66300,1.75000,1.62000,1.65000
HYDR,D,20080905,000000,1.60000,1.66000,1.49100,1.59300
HYDR,D,20080908,000000,1.64000,1.68900,1.60000,1.61900
HYDR,D,20080909,000000,1.59700,1.60000,1.45300,1.47300
HYDR,D,20080910,000000,1.45000,1.48500,1.25300,1.30000
HYDR,D,20080911,000000,1.31400,1.31800,1.14200,1.15700
HYDR,D,20080912,000000,1.20000,1.23000,1.07500,1.13500
HYDR,D,20080915,000000,1.10500,1.11500,0.98500,0.99900
HYDR,D,20080916,000000,0.94100,0.94100,0.73800,0.74900
HYDR,D,20080919,000000,0.93000,0.95000,0.81600,0.88500
HYDR,D,20080922,000000,0.93000,0.98900,0.83000,0.86400
HYDR,D,20080923,000000,0.85000,0.85300,0.79200,0.82200
HYDR,D,20080924,000000,0.84000,0.88400,0.81200,0.85000
HYDR,D,20080925,000000,0.85500,0.87000,0.81300,0.84900
HYDR,D,20080926,000000,0.84900,0.85500,0.78800,0.80500
HYDR,D,20080929,000000,0.80200,0.80400,0.75000,0.76000
HYDR,D,20080930,000000,0.72000,0.89900,0.68100,0.88000
HYDR,D,20081001,000000,0.83800,0.93800,0.81700,0.83400
HYDR,D,20081002,000000,0.83000,0.88200,0.79000,0.88000
HYDR,D,20081003,000000,0.81000,0.84600,0.75500,0.81000
HYDR,D,20081006,000000,0.75000,0.75800,0.65000,0.67500
HYDR,D,20081007,000000,0.67500,0.70000,0.60500,0.62900
HYDR,D,20081008,000000,0.59100,0.59100,0.46200,0.55500
HYDR,D,20081009,000000,0.56500,0.62900,0.50200,0.53700
HYDR,D,20081013,000000,0.53700,0.55000,0.48000,0.51500
HYDR,D,20081014,000000,0.54800,0.56900,0.52600,0.55000
HYDR,D,20081015,000000,0.55000,0.56000,0.44000,0.44600
HYDR,D,20081016,000000,0.36900,0.46800,0.35900,0.40000
HYDR,D,20081017,000000,0.41600,0.42900,0.36400,0.37700
HYDR,D,20081020,000000,0.39000,0.42900,0.38000,0.40700
HYDR,D,20081021,000000,0.41800,0.45500,0.41800,0.43700
HYDR,D,20081022,000000,0.41700,0.51000,0.40000,0.49300
HYDR,D,20081023,000000,0.48000,0.53000,0.45600,0.47500
HYDR,D,20081024,000000,0.47000,0.47000,0.39500,0.40900
HYDR,D,20081028,000000,0.40000,0.43600,0.38900,0.42200
HYDR,D,20081029,000000,0.44700,0.48000,0.44300,0.45100
HYDR,D,20081030,000000,0.46600,0.51700,0.46600,0.48900
HYDR,D,20081031,000000,0.48900,0.51300,0.45700,0.51000
HYDR,D,20081101,000000,0.51100,0.55500,0.51000,0.54600
HYDR,D,20081105,000000,0.58300,0.69000,0.58000,0.59900
HYDR,D,20081106,000000,0.55700,0.57000,0.52200,0.53500
HYDR,D,20081107,000000,0.52500,0.57800,0.51000,0.56400
HYDR,D,20081110,000000,0.58800,0.61000,0.55700,0.56900
HYDR,D,20081111,000000,0.55500,0.55500,0.48600,0.49900
HYDR,D,20081113,000000,0.44900,0.56000,0.42100,0.55700
HYDR,D,20081114,000000,0.60000,0.61400,0.54900,0.55000
HYDR,D,20081117,000000,0.55500,0.57100,0.50800,0.53300
HYDR,D,20081118,000000,0.51700,0.52800,0.47600,0.51400
HYDR,D,20081119,000000,0.51500,0.51500,0.45500,0.46500
HYDR,D,20081120,000000,0.43100,0.44700,0.40500,0.41200
HYDR,D,20081121,000000,0.42500,0.52800,0.42000,0.50100
HYDR,D,20081124,000000,0.51700,0.63500,0.51600,0.62700
HYDR,D,20081126,000000,0.64100,0.81900,0.64100,0.81900
HYDR,D,20081128,000000,0.85000,0.97000,0.66200,0.69000
HYDR,D,20081201,000000,0.69100,0.76500,0.62000,0.64200
HYDR,D,20081202,000000,0.61200,0.67300,0.58200,0.63000
HYDR,D,20081203,000000,0.63900,0.64900,0.59700,0.61100
HYDR,D,20081204,000000,0.61000,0.67300,0.60000,0.65500
HYDR,D,20081205,000000,0.63500,0.68300,0.62000,0.65700
HYDR,D,20081208,000000,0.70900,0.74500,0.67500,0.74500
HYDR,D,20081209,000000,0.73000,0.73000,0.67400,0.68600
HYDR,D,20081210,000000,0.68900,0.69000,0.63500,0.67500
HYDR,D,20081211,000000,0.66400,0.67900,0.62500,0.64500
HYDR,D,20081212,000000,0.62500,0.63200,0.58700,0.60500
HYDR,D,20081215,000000,0.62300,0.62300,0.59500,0.61200
HYDR,D,20081216,000000,0.60900,0.61400,0.57500,0.59300
HYDR,D,20081217,000000,0.60800,0.64900,0.60000,0.64500
HYDR,D,20081218,000000,0.66000,0.69600,0.62500,0.66200
HYDR,D,20081219,000000,0.66000,0.69100,0.64100,0.68000
HYDR,D,20081222,000000,0.68700,0.69600,0.66600,0.66900
HYDR,D,20081223,000000,0.66900,0.67900,0.64600,0.66900
HYDR,D,20081224,000000,0.66800,0.67900,0.62600,0.63600
HYDR,D,20081225,000000,0.63900,0.64000,0.60600,0.61200
HYDR,D,20081226,000000,0.61500,0.61800,0.59400,0.59700
HYDR,D,20081229,000000,0.60000,0.60800,0.57800,0.59100
HYDR,D,20081230,000000,0.59100,0.60400,0.58300,0.59200
HYDR,D,20081231,000000,0.59800,0.60700,0.58900,0.60100
HYDR,D,20090111,000000,0.61500,0.62500,0.59500,0.60500
HYDR,D,20090112,000000,0.60200,0.65100,0.59700,0.65100
HYDR,D,20090113,000000,0.64800,0.65300,0.62600,0.64600
HYDR,D,20090114,000000,0.65000,0.66000,0.61200,0.61400
HYDR,D,20090115,000000,0.61000,0.61900,0.58900,0.59900
HYDR,D,20090116,000000,0.60500,0.63000,0.60100,0.60500
HYDR,D,20090119,000000,0.61300,0.61400,0.56200,0.57100
HYDR,D,20090120,000000,0.57000,0.57100,0.50500,0.53800
HYDR,D,20090121,000000,0.51300,0.54300,0.50000,0.54200
HYDR,D,20090122,000000,0.55300,0.55500,0.50600,0.51400
HYDR,D,20090123,000000,0.51000,0.51700,0.47100,0.50700
HYDR,D,20090126,000000,0.51200,0.55000,0.50500,0.54700
HYDR,D,20090127,000000,0.56000,0.62400,0.54200,0.61100
