<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
LKOH,D,19991001,000000,171.00000,174.99000,170.31000,170.31000
LKOH,D,19991004,000000,174.99000,177.00000,173.02000,174.61000
LKOH,D,19991005,000000,177.00000,178.00000,175.00000,176.00000
LKOH,D,19991006,000000,175.50000,175.99000,173.60000,173.60000
LKOH,D,19991007,000000,174.50000,175.90000,173.70000,174.70000
LKOH,D,19991008,000000,178.00000,185.00000,177.00000,181.80000
LKOH,D,19991011,000000,180.00000,194.00000,180.00000,194.00000
LKOH,D,19991012,000000,197.80000,201.00000,193.00000,194.03000
LKOH,D,19991013,000000,190.00000,195.00000,186.11000,193.50000
LKOH,D,19991014,000000,194.00000,207.00000,194.00000,207.00000
LKOH,D,19991015,000000,205.00000,205.00000,193.50000,197.00000
LKOH,D,19991018,000000,193.00000,197.95000,190.00000,197.00000
LKOH,D,19991019,000000,195.00000,205.69000,195.00000,204.00000
LKOH,D,19991020,000000,202.50000,208.90000,202.00000,208.90000
LKOH,D,19991021,000000,208.00000,208.90000,202.00000,205.00000
LKOH,D,19991022,000000,206.00000,208.90000,204.70000,208.90000
LKOH,D,19991025,000000,210.00000,211.40000,205.00000,206.90000
LKOH,D,19991026,000000,207.00000,207.50000,203.50000,205.11000
LKOH,D,19991027,000000,203.00000,206.50000,202.30000,205.00000
LKOH,D,19991028,000000,204.50000,209.60000,203.70000,208.90000
LKOH,D,19991029,000000,208.00000,208.44000,207.00000,208.44000
LKOH,D,19991101,000000,207.00000,207.80000,206.10000,206.80000
LKOH,D,19991102,000000,207.00000,210.00000,206.10000,209.00000
LKOH,D,19991103,000000,207.50000,207.80000,205.10000,206.00000
LKOH,D,19991104,000000,207.00000,213.85000,205.00000,213.85000
LKOH,D,19991105,000000,213.01000,219.00000,211.10000,219.00000
LKOH,D,19991109,000000,220.00000,227.00000,220.00000,225.00000
LKOH,D,19991110,000000,227.00000,234.20000,227.00000,232.99000
LKOH,D,19991111,000000,235.00000,245.00000,232.00000,236.90000
LKOH,D,19991112,000000,235.00000,239.50000,232.00000,236.00000
LKOH,D,19991115,000000,241.00000,242.38000,237.00000,237.50000
LKOH,D,19991116,000000,238.00000,242.00000,235.10000,239.50000
LKOH,D,19991117,000000,241.50000,244.99000,240.50000,240.50000
LKOH,D,19991118,000000,221.00000,241.00000,221.00000,237.50000
LKOH,D,19991119,000000,239.30000,247.00000,239.30000,245.50000
LKOH,D,19991122,000000,248.50000,251.50000,248.00000,251.50000
LKOH,D,19991123,000000,254.00000,258.00000,254.00000,255.85000
LKOH,D,19991124,000000,254.00000,254.00000,243.25000,246.00000
LKOH,D,19991125,000000,244.71000,249.00000,236.20000,247.51000
LKOH,D,19991126,000000,249.50000,249.50000,245.00000,247.00000
LKOH,D,19991129,000000,249.00000,249.00000,237.30000,238.00000
LKOH,D,19991130,000000,230.21000,237.90000,225.00000,229.48000
LKOH,D,19991201,000000,222.10000,231.90000,222.10000,231.00000
LKOH,D,19991202,000000,238.00000,238.00000,231.50000,232.79000
LKOH,D,19991203,000000,230.01000,245.97000,230.01000,245.97000
LKOH,D,19991206,000000,237.00000,259.00000,237.00000,240.50000
LKOH,D,19991207,000000,240.00000,240.00000,230.03000,234.01000
LKOH,D,19991208,000000,225.00000,230.00000,222.00000,228.50000
LKOH,D,19991209,000000,226.00000,232.99000,225.75000,227.06000
LKOH,D,19991210,000000,239.00000,245.00000,220.00000,223.66000
LKOH,D,19991214,000000,211.00000,238.00000,211.00000,230.00000
LKOH,D,19991215,000000,228.00000,245.50000,228.00000,245.50000
LKOH,D,19991216,000000,249.00000,253.90000,239.00000,240.00000
LKOH,D,19991217,000000,240.70000,247.90000,237.20000,246.00000
LKOH,D,19991220,000000,253.00000,264.95000,251.01000,261.51000
LKOH,D,19991221,000000,259.00000,284.00000,259.00000,277.50000
LKOH,D,19991222,000000,282.01000,289.00000,281.40000,281.40000
LKOH,D,19991223,000000,284.00000,290.00000,273.00000,288.00000
LKOH,D,19991224,000000,283.00000,295.00000,280.00000,290.00000
LKOH,D,19991227,000000,292.00000,308.00000,292.00000,307.00000
LKOH,D,19991228,000000,310.00000,315.00000,297.00000,301.00000
LKOH,D,19991229,000000,300.00000,303.88000,295.00000,297.01000
LKOH,D,20000105,000000,315.00000,339.00000,306.50000,339.00000
LKOH,D,20000106,000000,339.00000,349.00000,339.00000,348.50000
LKOH,D,20000110,000000,380.00000,388.00000,360.00000,388.00000
LKOH,D,20000111,000000,366.00000,378.00000,365.00000,368.50000
LKOH,D,20000112,000000,369.92000,382.90000,346.00000,380.00000
LKOH,D,20000113,000000,380.50000,395.00000,375.00000,384.15000
LKOH,D,20000114,000000,391.00000,396.00000,384.50000,392.00000
LKOH,D,20000117,000000,390.00000,396.80000,374.00000,378.00000
LKOH,D,20000118,000000,373.00000,382.00000,360.00000,360.00000
LKOH,D,20000119,000000,362.00000,362.00000,344.50000,350.00000
LKOH,D,20000120,000000,354.00000,364.50000,354.00000,364.50000
LKOH,D,20000121,000000,364.00000,378.70000,364.00000,372.10000
LKOH,D,20000124,000000,376.00000,383.00000,350.00000,351.05000
LKOH,D,20000125,000000,345.00000,347.00000,332.00000,337.02000
LKOH,D,20000126,000000,340.01000,344.00000,330.00000,342.00000
LKOH,D,20000127,000000,347.00000,347.00000,338.10000,345.00000
LKOH,D,20000128,000000,347.00000,348.00000,327.50000,332.80000
LKOH,D,20000131,000000,315.00000,323.00000,310.00000,315.00000
LKOH,D,20000201,000000,319.00000,328.50000,311.10000,315.00000
LKOH,D,20000202,000000,325.00000,325.50000,304.00000,317.50000
LKOH,D,20000203,000000,320.00000,329.49000,317.00000,326.00000
LKOH,D,20000204,000000,335.00000,337.00000,330.00000,332.89000
LKOH,D,20000207,000000,337.00000,342.00000,326.00000,329.00000
LKOH,D,20000208,000000,331.50000,349.00000,331.50000,349.00000
LKOH,D,20000209,000000,358.50000,362.50000,347.00000,347.00000
LKOH,D,20000210,000000,342.00000,352.00000,341.00000,344.80000
LKOH,D,20000211,000000,350.00000,351.00000,337.00000,340.50000
LKOH,D,20000214,000000,354.00000,360.00000,335.00000,340.00000
LKOH,D,20000215,000000,339.00000,339.00000,321.00000,321.00000
LKOH,D,20000216,000000,327.00000,330.40000,318.00000,320.80000
LKOH,D,20000217,000000,315.00000,329.00000,313.00000,327.00000
LKOH,D,20000218,000000,323.00000,326.00000,319.01000,320.00000
LKOH,D,20000221,000000,302.00000,316.00000,302.00000,315.70000
LKOH,D,20000222,000000,311.00000,320.00000,307.00000,320.00000
LKOH,D,20000223,000000,319.00000,324.90000,317.00000,321.00000
LKOH,D,20000224,000000,324.00000,329.60000,321.50000,325.50000
LKOH,D,20000225,000000,320.00000,320.00000,302.00000,305.00000
LKOH,D,20000228,000000,305.00000,320.00000,287.00000,290.40000
LKOH,D,20000229,000000,293.50000,298.95000,288.00000,297.99000
LKOH,D,20000301,000000,302.00000,318.00000,300.01000,315.50000
LKOH,D,20000302,000000,323.50000,326.00000,312.00000,322.50000
LKOH,D,20000303,000000,322.50000,335.00000,322.00000,332.90000
LKOH,D,20000306,000000,336.00000,339.00000,326.00000,326.00000
LKOH,D,20000307,000000,327.00000,343.00000,322.33000,341.90000
LKOH,D,20000309,000000,355.50000,370.70000,347.00000,365.50000
LKOH,D,20000310,000000,375.00000,394.00000,369.00000,384.52000
LKOH,D,20000313,000000,377.00000,385.00000,357.30000,360.00000
LKOH,D,20000314,000000,372.00000,396.00000,372.00000,388.30000
LKOH,D,20000315,000000,387.00000,397.40000,381.20000,391.00000
LKOH,D,20000316,000000,396.00000,397.00000,389.00000,394.00000
LKOH,D,20000317,000000,401.50000,405.00000,392.50000,397.00000
LKOH,D,20000320,000000,397.00000,397.00000,386.20000,390.00000
LKOH,D,20000321,000000,383.30000,387.50000,370.01000,374.21000
LKOH,D,20000322,000000,382.95000,400.00000,380.01000,396.00000
LKOH,D,20000323,000000,402.00000,434.00000,402.00000,418.90000
LKOH,D,20000324,000000,437.00000,454.88000,429.01000,451.30000
LKOH,D,20000327,000000,448.00000,490.00000,430.00000,440.00000
LKOH,D,20000328,000000,420.00000,442.99000,415.00000,425.10000
LKOH,D,20000329,000000,433.00000,435.00000,420.00000,433.50000
LKOH,D,20000330,000000,432.00000,432.00000,405.04000,407.06000
LKOH,D,20000331,000000,405.00000,445.00000,401.20000,443.00000
LKOH,D,20000403,000000,452.00000,458.00000,434.50000,435.02000
LKOH,D,20000404,000000,438.00000,455.00000,435.00000,453.00000
LKOH,D,20000405,000000,439.00000,454.90000,413.10000,421.00000
LKOH,D,20000406,000000,426.00000,445.00000,422.00000,445.00000
LKOH,D,20000407,000000,445.50000,445.50000,430.00000,440.99000
LKOH,D,20000410,000000,439.00000,453.75000,439.00000,449.10000
LKOH,D,20000411,000000,445.00000,445.00000,433.50000,434.00000
LKOH,D,20000412,000000,438.00000,441.30000,432.00000,438.00000
LKOH,D,20000413,000000,430.00000,437.00000,429.00000,429.00000
LKOH,D,20000414,000000,428.65000,437.99000,420.10000,425.00000
LKOH,D,20000417,000000,400.00000,405.00000,386.01000,392.00000
LKOH,D,20000418,000000,407.00000,412.00000,382.00000,389.99000
LKOH,D,20000419,000000,409.00000,409.00000,389.00000,390.00000
LKOH,D,20000420,000000,387.00000,403.10000,387.00000,402.51000
LKOH,D,20000421,000000,402.50000,405.00000,397.00000,398.51000
LKOH,D,20000424,000000,394.00000,397.00000,382.00000,388.44000
LKOH,D,20000425,000000,388.00000,393.60000,387.00000,388.60000
LKOH,D,20000426,000000,399.99000,415.00000,396.00000,407.20000
LKOH,D,20000427,000000,407.00000,423.89000,400.00000,408.00000
LKOH,D,20000428,000000,421.00000,428.49000,417.25000,428.49000
LKOH,D,20000503,000000,432.00000,441.00000,432.00000,434.00000
LKOH,D,20000504,000000,432.10000,434.75000,429.20000,432.70000
LKOH,D,20000505,000000,434.80000,437.10000,427.80000,433.00000
LKOH,D,20000506,000000,438.00000,441.90000,436.00000,439.00000
LKOH,D,20000510,000000,440.00000,442.00000,429.00000,431.50000
LKOH,D,20000511,000000,425.00000,429.50000,419.00000,427.00000
LKOH,D,20000512,000000,430.00000,432.00000,416.00000,423.50000
LKOH,D,20000515,000000,420.00000,420.00000,412.00000,415.51000
LKOH,D,20000516,000000,423.00000,440.00000,419.00000,436.50000
LKOH,D,20000517,000000,433.00000,436.00000,416.30000,417.05000
LKOH,D,20000518,000000,410.00000,417.50000,395.00000,409.00000
LKOH,D,20000519,000000,404.00000,405.00000,369.00000,370.00000
LKOH,D,20000522,000000,372.00000,378.50000,365.00000,370.50000
LKOH,D,20000523,000000,366.00000,370.00000,340.00000,352.50000
LKOH,D,20000524,000000,340.00000,351.00000,300.00000,341.00000
LKOH,D,20000525,000000,347.00000,375.00000,347.00000,375.00000
LKOH,D,20000526,000000,360.00000,394.00000,360.00000,384.00000
LKOH,D,20000529,000000,395.00000,398.00000,375.10000,380.50000
LKOH,D,20000530,000000,384.00000,389.25000,375.50000,383.00000
LKOH,D,20000531,000000,397.00000,397.00000,385.00000,387.49000
LKOH,D,20000601,000000,390.95000,400.00000,385.50000,397.00000
LKOH,D,20000602,000000,398.01000,412.50000,389.00000,410.00000
LKOH,D,20000605,000000,406.00000,427.00000,405.00000,415.00000
LKOH,D,20000606,000000,412.00000,416.00000,390.60000,397.50000
LKOH,D,20000607,000000,386.00000,400.00000,380.00000,398.00000
LKOH,D,20000608,000000,405.10000,410.00000,400.00000,400.00000
LKOH,D,20000609,000000,404.00000,410.50000,396.00000,403.00000
LKOH,D,20000613,000000,400.00000,404.00000,392.50000,392.50000
LKOH,D,20000614,000000,385.00000,390.00000,375.10000,385.00000
LKOH,D,20000615,000000,386.00000,392.90000,385.00000,385.01000
LKOH,D,20000616,000000,389.00000,396.50000,388.00000,392.00000
LKOH,D,20000619,000000,387.80000,387.90000,382.00000,384.05000
LKOH,D,20000620,000000,389.00000,390.00000,367.00000,372.50000
LKOH,D,20000621,000000,367.00000,370.00000,354.00000,364.00000
LKOH,D,20000622,000000,362.10000,374.20000,359.00000,373.00000
LKOH,D,20000623,000000,370.00000,390.00000,365.10000,377.50000
LKOH,D,20000626,000000,378.00000,380.00000,368.50000,372.00000
LKOH,D,20000627,000000,372.00000,372.00000,353.00000,355.00000
LKOH,D,20000628,000000,356.00000,366.00000,344.00000,358.80000
LKOH,D,20000629,000000,355.00000,355.00000,338.26000,340.00000
LKOH,D,20000630,000000,348.00000,361.50000,348.00000,357.00000
LKOH,D,20000703,000000,360.00000,369.40000,355.00000,369.00000
LKOH,D,20000704,000000,372.00000,380.80000,372.00000,375.00000
LKOH,D,20000705,000000,372.05000,372.05000,365.00000,367.00000
LKOH,D,20000706,000000,364.00000,380.00000,362.00000,377.50000
LKOH,D,20000707,000000,385.00000,388.99000,378.05000,379.90000
LKOH,D,20000710,000000,380.00000,387.00000,376.60000,378.00000
LKOH,D,20000711,000000,378.55000,378.55000,349.00000,365.00000
LKOH,D,20000712,000000,368.10000,374.00000,360.00000,373.70000
LKOH,D,20000713,000000,371.50000,382.00000,369.60000,370.00000
LKOH,D,20000714,000000,368.00000,371.00000,361.00000,368.00000
LKOH,D,20000717,000000,368.00000,375.00000,368.00000,371.90000
LKOH,D,20000718,000000,369.99000,372.80000,363.00000,366.50000
LKOH,D,20000719,000000,367.50000,371.00000,364.00000,370.00000
LKOH,D,20000720,000000,366.45000,373.00000,366.00000,372.20000
LKOH,D,20000721,000000,374.00000,377.50000,371.00000,371.00000
LKOH,D,20000724,000000,370.00000,373.00000,369.00000,372.00000
LKOH,D,20000725,000000,369.00000,372.00000,368.00000,371.00000
LKOH,D,20000726,000000,371.49000,372.00000,365.00000,371.50000
LKOH,D,20000727,000000,367.00000,372.00000,365.26000,372.00000
LKOH,D,20000728,000000,372.90000,385.00000,372.01000,377.98000
LKOH,D,20000731,000000,372.00000,386.00000,372.00000,386.00000
LKOH,D,20000801,000000,389.20000,405.00000,389.20000,397.75000
LKOH,D,20000802,000000,399.50000,402.00000,393.55000,396.40000
LKOH,D,20000803,000000,403.00000,410.00000,393.00000,397.90000
LKOH,D,20000804,000000,402.89000,411.50000,400.00000,411.40000
LKOH,D,20000807,000000,412.01000,420.00000,410.80000,412.00000
LKOH,D,20000808,000000,408.00000,422.02000,405.00000,422.00000
LKOH,D,20000809,000000,417.50000,430.00000,414.25000,428.75000
LKOH,D,20000810,000000,424.00000,427.00000,421.50000,424.01000
LKOH,D,20000811,000000,425.00000,436.00000,425.00000,434.00000
LKOH,D,20000814,000000,438.00000,444.00000,435.00000,443.25000
LKOH,D,20000815,000000,448.00000,449.00000,437.25000,443.00000
LKOH,D,20000816,000000,440.00000,446.20000,438.25000,443.90000
LKOH,D,20000817,000000,437.01000,442.00000,431.01000,434.00000
LKOH,D,20000818,000000,435.01000,439.00000,428.10000,430.90000
LKOH,D,20000821,000000,427.50000,429.99000,423.10000,429.00000
LKOH,D,20000822,000000,431.10000,437.50000,429.25000,437.40000
LKOH,D,20000823,000000,436.00000,440.95000,434.00000,435.00000
LKOH,D,20000824,000000,439.00000,449.90000,437.76000,449.00000
LKOH,D,20000825,000000,458.00000,460.00000,453.00000,456.50000
LKOH,D,20000828,000000,452.51000,458.50000,449.00000,456.00000
LKOH,D,20000829,000000,456.50000,468.98000,456.50000,462.75000
LKOH,D,20000830,000000,460.00000,462.50000,449.00000,451.90000
LKOH,D,20000831,000000,452.00000,455.00000,446.00000,449.89000
LKOH,D,20000901,000000,450.00000,453.00000,444.00000,444.00000
LKOH,D,20000904,000000,447.00000,451.83000,435.00000,450.75000
LKOH,D,20000905,000000,452.20000,457.77000,449.20000,451.51000
LKOH,D,20000906,000000,451.00000,454.50000,448.86000,448.86000
LKOH,D,20000907,000000,451.00000,451.00000,444.00000,444.01000
LKOH,D,20000908,000000,446.00000,446.00000,430.00000,432.00000
LKOH,D,20000911,000000,431.90000,431.90000,410.00000,422.10000
LKOH,D,20000912,000000,417.20000,430.00000,417.20000,420.60000
LKOH,D,20000913,000000,415.30000,422.00000,406.00000,407.50000
LKOH,D,20000914,000000,410.00000,417.90000,386.00000,413.99000
LKOH,D,20000915,000000,413.00000,413.00000,396.00000,396.00000
LKOH,D,20000918,000000,390.00000,390.00000,374.00000,374.50000
LKOH,D,20000919,000000,370.00000,392.00000,362.00000,391.99000
LKOH,D,20000920,000000,394.00000,396.50000,378.01000,385.00000
LKOH,D,20000921,000000,385.00000,393.00000,373.10000,383.00000
LKOH,D,20000922,000000,374.00000,375.90000,356.01000,361.00000
LKOH,D,20000925,000000,370.00000,387.00000,370.00000,385.50000
LKOH,D,20000926,000000,383.50000,392.00000,381.00000,391.00000
LKOH,D,20000927,000000,384.10000,404.00000,384.01000,398.00000
LKOH,D,20000928,000000,399.00000,405.00000,392.56000,393.00000
LKOH,D,20000929,000000,402.00000,403.49000,394.20000,401.00000
LKOH,D,20001002,000000,399.49000,411.99000,399.49000,411.99000
LKOH,D,20001003,000000,410.02000,431.00000,409.05000,430.01000
LKOH,D,20001004,000000,428.99000,434.00000,410.01000,416.80000
LKOH,D,20001005,000000,416.15000,422.00000,400.00000,405.00000
LKOH,D,20001006,000000,401.00000,404.80000,396.00000,401.50000
LKOH,D,20001009,000000,393.00000,394.00000,387.15000,391.50000
LKOH,D,20001010,000000,396.00000,398.10000,389.00000,392.60000
LKOH,D,20001011,000000,390.01000,391.00000,374.50000,382.80000
LKOH,D,20001012,000000,383.50000,391.50000,371.07000,380.00000
LKOH,D,20001013,000000,372.00000,389.35000,370.00000,384.50000
LKOH,D,20001016,000000,392.50000,413.00000,392.50000,410.00000
LKOH,D,20001017,000000,404.00000,414.87000,397.02000,411.55000
LKOH,D,20001018,000000,407.00000,410.80000,373.00000,382.50000
LKOH,D,20001019,000000,395.00000,412.50000,393.00000,409.00000
LKOH,D,20001020,000000,418.00000,423.00000,415.00000,420.00000
LKOH,D,20001023,000000,423.99000,424.60000,411.00000,416.50000
LKOH,D,20001024,000000,407.10000,412.50000,403.00000,407.00000
LKOH,D,20001025,000000,396.00000,401.00000,388.00000,396.50000
LKOH,D,20001026,000000,387.50000,390.00000,382.00000,385.70000
LKOH,D,20001027,000000,385.00000,388.50000,380.50000,383.15000
LKOH,D,20001030,000000,388.00000,388.00000,368.00000,372.00000
LKOH,D,20001031,000000,372.00000,374.00000,363.15000,371.00000
LKOH,D,20001101,000000,383.00000,387.00000,378.10000,379.35000
LKOH,D,20001102,000000,377.50000,382.50000,363.20000,370.50000
LKOH,D,20001103,000000,369.98000,372.50000,354.00000,358.49000
LKOH,D,20001104,000000,351.10000,355.00000,350.00000,352.00000
LKOH,D,20001108,000000,345.00000,345.00000,315.05000,326.50000
LKOH,D,20001109,000000,316.00000,321.90000,305.00000,308.50000
LKOH,D,20001110,000000,308.90000,321.80000,306.00000,313.25000
LKOH,D,20001113,000000,310.00000,313.00000,306.00000,312.00000
LKOH,D,20001114,000000,316.50000,325.50000,316.50000,325.50000
LKOH,D,20001115,000000,327.99000,328.00000,313.00000,313.00000
LKOH,D,20001116,000000,312.99000,315.90000,309.00000,314.00000
