<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SNGS,D,19991001,000000,3.33700,3.49000,3.30000,3.49000
SNGS,D,19991004,000000,3.55000,3.67000,3.51000,3.61000
SNGS,D,19991005,000000,3.68000,3.80000,3.65100,3.80000
SNGS,D,19991006,000000,3.87000,3.90400,3.79000,3.84900
SNGS,D,19991007,000000,3.85000,3.97000,3.80100,3.94000
SNGS,D,19991008,000000,3.99500,4.09900,3.96500,4.03100
SNGS,D,19991011,000000,4.10000,4.28000,4.10000,4.26500
SNGS,D,19991012,000000,4.30000,4.30000,4.01000,4.02000
SNGS,D,19991013,000000,4.00000,4.10000,3.91000,4.09500
SNGS,D,19991014,000000,4.10000,4.37000,4.10000,4.34500
SNGS,D,19991015,000000,4.28100,4.31000,4.03200,4.18000
SNGS,D,19991018,000000,4.15500,4.18000,4.02000,4.18000
SNGS,D,19991019,000000,4.22000,4.24000,4.16500,4.24000
SNGS,D,19991020,000000,4.24000,4.29000,4.18100,4.25000
SNGS,D,19991021,000000,4.32000,4.32000,4.19200,4.19200
SNGS,D,19991022,000000,4.21500,4.26500,4.20000,4.26500
SNGS,D,19991025,000000,4.30800,4.31500,4.19000,4.25000
SNGS,D,19991026,000000,4.19000,4.27000,4.16100,4.24500
SNGS,D,19991027,000000,4.19500,4.29000,4.17000,4.23300
SNGS,D,19991028,000000,4.25100,4.49900,4.22500,4.49900
SNGS,D,19991029,000000,4.34000,4.37000,4.30000,4.37000
SNGS,D,19991101,000000,4.30000,4.34000,4.30000,4.34000
SNGS,D,19991102,000000,4.31000,4.38000,4.30000,4.37500
SNGS,D,19991103,000000,4.32000,4.33000,4.26000,4.26000
SNGS,D,19991104,000000,4.20500,4.30000,4.20000,4.29600
SNGS,D,19991105,000000,4.37000,4.46500,4.36000,4.46000
SNGS,D,19991109,000000,4.50000,4.77000,4.50000,4.77000
SNGS,D,19991110,000000,4.76000,5.04000,4.72000,4.95000
SNGS,D,19991111,000000,4.95000,5.13000,4.91000,4.91500
SNGS,D,19991112,000000,4.89000,5.00000,4.88000,4.99000
SNGS,D,19991115,000000,5.00000,5.10000,4.99000,5.03500
SNGS,D,19991116,000000,5.05000,5.16000,5.00300,5.16000
SNGS,D,19991117,000000,5.18000,5.24000,5.04000,5.08000
SNGS,D,19991118,000000,5.00000,5.05000,4.98000,4.98600
SNGS,D,19991119,000000,5.05000,5.27500,5.05000,5.26000
SNGS,D,19991122,000000,5.34000,5.42000,5.30000,5.42000
SNGS,D,19991123,000000,5.43000,5.52000,5.42100,5.48000
SNGS,D,19991124,000000,5.32000,5.39000,5.11100,5.12500
SNGS,D,19991125,000000,5.22000,5.32000,5.12500,5.31700
SNGS,D,19991126,000000,5.30000,5.39000,5.29900,5.29900
SNGS,D,19991129,000000,5.19000,5.25500,5.16000,5.16000
SNGS,D,19991130,000000,5.16500,5.16500,4.95000,5.00000
SNGS,D,19991201,000000,5.00000,5.13000,5.00000,5.09000
SNGS,D,19991202,000000,5.18000,5.25500,5.15500,5.15500
SNGS,D,19991203,000000,5.20000,5.35000,5.20000,5.35000
SNGS,D,19991206,000000,5.30000,5.40000,5.30000,5.34000
SNGS,D,19991207,000000,5.23000,5.23000,5.06000,5.09000
SNGS,D,19991208,000000,5.10000,5.10000,4.80100,5.00500
SNGS,D,19991209,000000,5.04000,5.04900,4.96000,5.00000
