<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AFLT,D,19991008,000000,1.49000,1.49000,1.49000,1.49000
AFLT,D,19991014,000000,1.52000,1.52000,1.52000,1.52000
AFLT,D,19991019,000000,1.55000,1.55000,1.55000,1.55000
AFLT,D,19991102,000000,1.70000,1.70000,1.70000,1.70000
AFLT,D,19991104,000000,1.60000,1.60000,1.60000,1.60000
AFLT,D,19991116,000000,1.90000,1.90000,1.90000,1.90000
AFLT,D,19991117,000000,1.85000,1.85000,1.85000,1.85000
AFLT,D,19991119,000000,1.95000,1.95000,1.95000,1.95000
AFLT,D,19991125,000000,2.20000,2.20000,2.20000,2.20000
AFLT,D,19991202,000000,2.20000,2.20000,2.20000,2.20000
AFLT,D,19991216,000000,2.20000,2.20000,2.20000,2.20000
AFLT,D,19991220,000000,2.50000,2.50000,2.50000,2.50000
AFLT,D,19991221,000000,2.50000,2.62000,2.50000,2.62000
AFLT,D,19991222,000000,3.45000,3.45000,3.00000,3.00000
AFLT,D,19991223,000000,3.45000,3.45000,3.45000,3.45000
AFLT,D,19991224,000000,3.50000,3.50000,3.50000,3.50000
AFLT,D,19991227,000000,3.60000,3.60000,3.50000,3.50000
AFLT,D,19991228,000000,5.20000,5.20000,5.00000,5.00000
AFLT,D,19991229,000000,5.50000,5.50000,5.40000,5.40000
AFLT,D,20000105,000000,7.00000,7.00000,6.88000,6.90000
AFLT,D,20000110,000000,7.00000,7.00000,6.50000,6.50000
AFLT,D,20000111,000000,7.00000,7.00000,5.40000,5.40000
AFLT,D,20000112,000000,6.60000,6.60000,6.60000,6.60000
AFLT,D,20000113,000000,6.60000,6.75000,6.00000,6.60000
AFLT,D,20000114,000000,6.60000,6.60000,6.45000,6.58000
AFLT,D,20000117,000000,6.60000,6.60000,6.50000,6.50000
AFLT,D,20000118,000000,6.30000,6.40000,6.00000,6.00000
AFLT,D,20000119,000000,6.00000,6.00000,6.00000,6.00000
AFLT,D,20000120,000000,5.90000,6.00000,5.90000,6.00000
AFLT,D,20000121,000000,6.00000,6.10000,6.00000,6.10000
AFLT,D,20000127,000000,5.93000,6.10000,5.93000,6.10000
AFLT,D,20000201,000000,5.00000,5.00000,5.00000,5.00000
AFLT,D,20000202,000000,5.70000,5.70000,5.70000,5.70000
AFLT,D,20000208,000000,5.45000,5.45000,5.45000,5.45000
AFLT,D,20000209,000000,5.80000,5.80000,5.80000,5.80000
AFLT,D,20000210,000000,5.45000,5.45000,5.45000,5.45000
AFLT,D,20000211,000000,5.60000,5.60000,5.60000,5.60000
AFLT,D,20000216,000000,5.50000,5.50000,5.50000,5.50000
AFLT,D,20000217,000000,5.45000,5.45000,5.45000,5.45000
AFLT,D,20000218,000000,5.35000,5.35000,5.04000,5.04000
AFLT,D,20000221,000000,5.00000,5.00000,5.00000,5.00000
AFLT,D,20000222,000000,5.00000,5.00000,5.00000,5.00000
AFLT,D,20000223,000000,5.20000,5.22000,5.20000,5.22000
AFLT,D,20000224,000000,5.59000,5.59000,5.59000,5.59000
AFLT,D,20000302,000000,4.80000,4.80000,4.80000,4.80000
AFLT,D,20000306,000000,5.00000,5.00000,5.00000,5.00000
AFLT,D,20000307,000000,5.00000,5.00000,5.00000,5.00000
AFLT,D,20000309,000000,5.13000,5.23000,5.10000,5.23000
AFLT,D,20000310,000000,5.23000,5.30000,5.23000,5.30000
AFLT,D,20000313,000000,5.00000,5.00000,5.00000,5.00000
AFLT,D,20000314,000000,5.10000,5.15000,4.95000,5.15000
