<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
ARMD,D,20070731,000000,391.00000,408.00000,391.00000,408.00000
ARMD,D,20070801,000000,405.00000,407.00000,405.00000,407.00000
ARMD,D,20070802,000000,398.00000,420.00000,398.00000,420.00000
ARMD,D,20070803,000000,410.00000,417.00000,407.00000,417.00000
ARMD,D,20070806,000000,409.00000,417.00000,409.00000,417.00000
ARMD,D,20070807,000000,429.00000,429.00000,416.00000,419.98999
ARMD,D,20070808,000000,419.00000,419.76999,415.54999,415.54999
ARMD,D,20070809,000000,417.00000,420.00000,417.00000,417.00000
ARMD,D,20070810,000000,418.50000,418.89999,416.54999,416.54999
ARMD,D,20070813,000000,412.01001,419.00000,411.00000,419.00000
ARMD,D,20070814,000000,419.00000,420.00000,404.01001,404.01001
ARMD,D,20070815,000000,416.50000,416.79999,416.00000,416.00000
ARMD,D,20070816,000000,416.00000,416.89999,392.01001,407.89999
ARMD,D,20070817,000000,412.00000,415.00000,410.00000,415.00000
ARMD,D,20070820,000000,414.00000,414.00000,410.00000,410.89999
ARMD,D,20070821,000000,420.00000,420.00000,412.00000,412.00000
ARMD,D,20070822,000000,400.00000,416.79001,400.00000,416.79001
ARMD,D,20070823,000000,419.00000,419.00000,415.00000,418.00000
ARMD,D,20070824,000000,418.00000,418.00000,400.00000,417.89999
ARMD,D,20070827,000000,410.00000,411.10001,400.00000,411.00000
ARMD,D,20070828,000000,410.00000,411.00000,410.00000,411.00000
ARMD,D,20070829,000000,412.00000,412.00000,410.00000,410.00000
ARMD,D,20070830,000000,411.00000,412.00000,411.00000,412.00000
ARMD,D,20070831,000000,420.00000,420.00000,410.00000,410.00000
ARMD,D,20070903,000000,411.00000,411.00000,410.00000,410.00000
ARMD,D,20070904,000000,411.00000,411.00000,400.03000,410.00000
ARMD,D,20070905,000000,410.00000,411.00000,410.00000,411.00000
ARMD,D,20070906,000000,411.00000,411.00000,410.00000,410.00000
ARMD,D,20070907,000000,412.00000,412.00000,412.00000,412.00000
ARMD,D,20070910,000000,411.00000,411.00000,411.00000,411.00000
ARMD,D,20070911,000000,411.00000,412.00000,410.00000,410.00000
ARMD,D,20070912,000000,415.98001,415.98001,411.00000,411.00000
ARMD,D,20070913,000000,411.00000,411.50000,410.00000,411.39999
ARMD,D,20070914,000000,411.00000,427.00000,411.00000,425.00000
ARMD,D,20070917,000000,426.00000,429.00000,426.00000,428.00000
ARMD,D,20070918,000000,434.00000,435.00000,430.00000,430.00000
ARMD,D,20070919,000000,425.01001,435.00000,425.00000,435.00000
ARMD,D,20070920,000000,439.00000,488.00000,435.00000,459.98999
ARMD,D,20070921,000000,459.00000,480.00000,457.00000,461.00000
ARMD,D,20070924,000000,465.00000,478.00000,465.00000,469.00000
ARMD,D,20070925,000000,470.00000,474.50000,468.00000,470.00000
ARMD,D,20070926,000000,470.00000,470.00000,465.00000,470.00000
ARMD,D,20070927,000000,475.00000,475.00000,460.00000,474.00000
ARMD,D,20070928,000000,475.00000,475.00000,473.00000,473.00000
ARMD,D,20071001,000000,451.01001,476.00000,451.01001,468.00000
ARMD,D,20071002,000000,470.00000,477.00000,470.00000,471.00000
ARMD,D,20071003,000000,475.00000,475.00000,474.00000,475.00000
ARMD,D,20071004,000000,475.00000,475.00000,470.00000,470.00000
ARMD,D,20071005,000000,471.00000,474.76999,467.00000,474.76999
ARMD,D,20071008,000000,475.00000,475.00000,474.00000,474.00000
ARMD,D,20071009,000000,476.00000,476.00000,476.00000,476.00000
ARMD,D,20071010,000000,479.00000,479.10001,479.00000,479.00000
ARMD,D,20071011,000000,480.00000,483.00000,475.01001,483.00000
ARMD,D,20071012,000000,487.00000,487.00000,480.00000,484.00000
ARMD,D,20071015,000000,485.00000,485.00000,485.00000,485.00000
ARMD,D,20071016,000000,496.00000,498.00000,489.00000,490.00000
ARMD,D,20071017,000000,487.00000,487.00000,487.00000,487.00000
ARMD,D,20071018,000000,485.00000,490.00000,485.00000,490.00000
ARMD,D,20071019,000000,485.00000,490.00000,483.00000,488.00000
ARMD,D,20071022,000000,485.00000,488.00000,480.00000,488.00000
ARMD,D,20071023,000000,490.00000,490.00000,475.00000,475.00000
ARMD,D,20071024,000000,490.00000,490.00000,480.00000,480.00000
ARMD,D,20071025,000000,498.00000,521.00000,390.00000,485.00000
ARMD,D,20071026,000000,489.50000,489.50000,475.00000,482.00000
ARMD,D,20071029,000000,485.00000,492.00000,485.00000,485.00000
ARMD,D,20071030,000000,520.00000,520.00000,481.20001,485.00000
ARMD,D,20071031,000000,490.00000,500.00000,485.00000,496.00000
ARMD,D,20071101,000000,490.00000,499.00000,475.01001,499.00000
ARMD,D,20071102,000000,490.00000,503.00000,486.00000,499.00000
ARMD,D,20071106,000000,523.95001,523.95001,490.00000,501.00000
ARMD,D,20071107,000000,505.00000,520.00000,491.12000,510.00000
ARMD,D,20071108,000000,515.00000,515.00000,514.00000,515.00000
ARMD,D,20071109,000000,514.00000,514.00000,514.00000,514.00000
ARMD,D,20071112,000000,505.00000,514.00000,505.00000,506.00000
ARMD,D,20071113,000000,500.10999,500.10999,500.10999,500.10999
ARMD,D,20071114,000000,510.00000,510.00000,500.01001,503.00000
ARMD,D,20071115,000000,500.01001,500.01001,500.00000,500.00000
ARMD,D,20071116,000000,500.00000,501.00000,500.00000,500.50000
ARMD,D,20071119,000000,500.00000,503.00000,495.00000,495.00000
ARMD,D,20071120,000000,510.00000,510.00000,500.00000,503.00000
ARMD,D,20071121,000000,513.00000,514.00000,497.00000,509.00000
ARMD,D,20071122,000000,503.00000,504.00000,500.00000,504.00000
ARMD,D,20071123,000000,503.00000,503.54999,503.00000,503.54999
ARMD,D,20071126,000000,507.00000,515.00000,506.00000,515.00000
ARMD,D,20071127,000000,507.00000,507.00000,504.00000,507.00000
ARMD,D,20071128,000000,503.00000,505.00000,500.00000,500.00000
ARMD,D,20071129,000000,500.00000,505.00000,500.00000,500.00000
ARMD,D,20071130,000000,505.00000,505.00000,504.95000,504.95000
ARMD,D,20071203,000000,505.00000,510.00000,505.00000,510.00000
ARMD,D,20071204,000000,515.00000,515.00000,508.00000,515.00000
ARMD,D,20071205,000000,510.00000,517.00000,510.00000,517.00000
ARMD,D,20071206,000000,520.00000,525.00000,520.00000,523.00000
ARMD,D,20071207,000000,555.00000,555.00000,516.00000,520.00000
ARMD,D,20071210,000000,517.00000,525.00000,517.00000,524.99000
ARMD,D,20071211,000000,550.00000,550.00000,521.00000,527.00000
ARMD,D,20071212,000000,545.00000,545.00000,516.01000,516.01000
ARMD,D,20071213,000000,541.00000,541.00000,520.00000,520.00000
ARMD,D,20071214,000000,545.00000,545.00000,515.00000,520.00000
ARMD,D,20071217,000000,535.00000,535.00000,520.00000,524.00000
ARMD,D,20071218,000000,550.00000,550.00000,521.00000,521.00000
ARMD,D,20071219,000000,530.00000,530.00000,521.00000,528.00000
ARMD,D,20071220,000000,526.00000,526.00000,520.00000,520.00000
ARMD,D,20071221,000000,529.00000,529.00000,521.00000,527.00000
ARMD,D,20071224,000000,530.00000,530.00000,525.00000,529.90000
ARMD,D,20071225,000000,527.00000,530.00000,527.00000,530.00000
ARMD,D,20071226,000000,530.00000,540.00000,525.00000,525.00000
ARMD,D,20071227,000000,526.00000,531.95000,521.11000,523.00000
ARMD,D,20071228,000000,540.00000,540.00000,520.00000,520.02000
ARMD,D,20080109,000000,532.01000,535.00000,522.00000,522.00000
ARMD,D,20080110,000000,521.00000,549.98000,521.00000,535.00000
ARMD,D,20080111,000000,530.00000,549.99000,530.00000,535.00000
ARMD,D,20080114,000000,560.00000,560.00000,535.00000,540.00000
ARMD,D,20080115,000000,553.35000,569.99000,535.00000,555.00000
ARMD,D,20080116,000000,550.07000,556.00000,535.00000,556.00000
ARMD,D,20080117,000000,555.00000,555.00000,535.00000,542.00000
ARMD,D,20080118,000000,543.00000,543.00000,537.00000,539.00000
ARMD,D,20080121,000000,575.00000,599.00000,519.57000,529.00000
ARMD,D,20080122,000000,509.93000,538.00000,451.00000,520.00000
ARMD,D,20080123,000000,520.00000,522.00000,475.00000,508.96000
ARMD,D,20080124,000000,510.00000,517.00000,500.00000,510.00000
ARMD,D,20080125,000000,517.00000,517.00000,512.00000,517.00000
ARMD,D,20080128,000000,510.00000,515.00000,505.00000,514.00000
ARMD,D,20080129,000000,514.00000,521.00000,511.00000,521.00000
ARMD,D,20080130,000000,512.00000,519.00000,500.00000,519.00000
ARMD,D,20080131,000000,510.00000,514.00000,460.00000,514.00000
ARMD,D,20080201,000000,490.00000,520.78000,490.00000,509.00000
ARMD,D,20080204,000000,515.72000,519.00000,503.00000,517.00000
ARMD,D,20080205,000000,512.00000,512.00000,500.00000,505.00000
ARMD,D,20080206,000000,500.00000,500.00000,490.00000,500.00000
ARMD,D,20080207,000000,504.00000,504.00000,475.00000,485.00000
ARMD,D,20080208,000000,499.99000,503.00000,489.90000,500.00000
ARMD,D,20080211,000000,490.00000,518.99000,485.02000,518.99000
ARMD,D,20080212,000000,514.99000,515.00000,507.60000,510.00000
ARMD,D,20080213,000000,510.00000,516.00000,510.00000,510.00000
ARMD,D,20080214,000000,509.00000,516.00000,509.00000,509.10000
ARMD,D,20080215,000000,500.01000,512.00000,500.01000,512.00000
ARMD,D,20080218,000000,510.00000,550.00000,505.00000,520.00000
ARMD,D,20080219,000000,520.00000,526.00000,515.01000,516.00000
ARMD,D,20080220,000000,515.00000,518.00000,505.02000,505.02000
ARMD,D,20080221,000000,519.00000,519.00000,516.00000,518.00000
ARMD,D,20080222,000000,515.00000,516.00000,510.00000,511.00000
ARMD,D,20080226,000000,518.00000,518.00000,515.00000,518.00000
ARMD,D,20080227,000000,525.00000,532.00000,514.99000,532.00000
ARMD,D,20080228,000000,520.00000,554.99000,520.00000,530.00000
ARMD,D,20080229,000000,535.00000,535.00000,525.00000,530.00000
ARMD,D,20080303,000000,512.00000,524.00000,511.00000,516.00000
ARMD,D,20080304,000000,536.00000,536.00000,516.50000,523.00000
ARMD,D,20080305,000000,529.00000,530.00000,516.00000,529.00000
ARMD,D,20080306,000000,529.00000,529.00000,516.50000,524.00000
ARMD,D,20080307,000000,525.00000,525.00000,517.01000,520.00000
ARMD,D,20080311,000000,526.00000,526.00000,516.00000,523.00000
ARMD,D,20080312,000000,516.01000,525.00000,512.50000,513.00000
ARMD,D,20080313,000000,510.00000,523.00000,510.00000,517.90000
ARMD,D,20080314,000000,522.99000,522.99000,505.01000,520.00000
ARMD,D,20080317,000000,480.02000,523.00000,480.02000,510.00000
ARMD,D,20080318,000000,490.00000,523.00000,480.00000,500.00000
ARMD,D,20080319,000000,505.11000,508.00000,500.02000,508.00000
ARMD,D,20080320,000000,482.00000,517.99000,482.00000,508.00000
ARMD,D,20080321,000000,490.00000,508.00000,490.00000,500.00000
ARMD,D,20080324,000000,500.00000,506.98000,500.00000,506.98000
ARMD,D,20080325,000000,495.00000,504.99000,490.00000,499.00000
ARMD,D,20080326,000000,492.00000,503.98000,490.00000,492.07000
ARMD,D,20080327,000000,491.01000,498.99000,480.00000,490.00000
ARMD,D,20080328,000000,494.99000,499.99000,478.00000,493.40000
ARMD,D,20080331,000000,490.00000,490.00000,481.00000,489.00000
ARMD,D,20080401,000000,480.10000,490.00000,480.10000,490.00000
ARMD,D,20080402,000000,494.99000,494.99000,480.03000,494.98000
ARMD,D,20080403,000000,494.98000,494.98000,488.01000,492.95000
ARMD,D,20080404,000000,485.02000,493.98000,485.02000,492.98000
ARMD,D,20080407,000000,494.00000,494.00000,494.00000,494.00000
