<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
MSNG,D,19991001,000000,0.66000,0.67000,0.64500,0.66000
MSNG,D,19991004,000000,0.67400,0.70100,0.67400,0.70100
MSNG,D,19991005,000000,0.70100,0.72600,0.70000,0.71000
MSNG,D,19991006,000000,0.70100,0.70900,0.69000,0.69500
MSNG,D,19991007,000000,0.68500,0.71000,0.68000,0.71000
MSNG,D,19991008,000000,0.73600,0.74500,0.72100,0.72100
MSNG,D,19991011,000000,0.75000,0.76100,0.73800,0.75900
MSNG,D,19991012,000000,0.77000,0.77000,0.71500,0.71600
MSNG,D,19991013,000000,0.71000,0.73000,0.71000,0.71500
MSNG,D,19991014,000000,0.74400,0.75200,0.73800,0.74000
MSNG,D,19991015,000000,0.74800,0.74800,0.68000,0.70000
MSNG,D,19991018,000000,0.71500,0.71500,0.67000,0.69000
MSNG,D,19991019,000000,0.71700,0.71700,0.69000,0.70300
MSNG,D,19991020,000000,0.69500,0.73400,0.69500,0.73400
MSNG,D,19991021,000000,0.74200,0.74200,0.68700,0.69500
MSNG,D,19991022,000000,0.70800,0.73100,0.70800,0.72500
MSNG,D,19991025,000000,0.72200,0.73800,0.70000,0.70000
MSNG,D,19991026,000000,0.70600,0.71900,0.70000,0.70800
MSNG,D,19991027,000000,0.70000,0.71000,0.70000,0.70300
MSNG,D,19991028,000000,0.73000,0.73000,0.70300,0.71400
MSNG,D,19991029,000000,0.72800,0.73800,0.71700,0.71700
MSNG,D,19991101,000000,0.70800,0.70800,0.70400,0.70800
MSNG,D,19991102,000000,0.71000,0.71400,0.70700,0.71000
MSNG,D,19991103,000000,0.69800,0.69800,0.68200,0.68200
MSNG,D,19991104,000000,0.70000,0.70400,0.68000,0.69300
MSNG,D,19991105,000000,0.70000,0.71800,0.68800,0.71800
MSNG,D,19991109,000000,0.72100,0.74400,0.72100,0.74200
MSNG,D,19991110,000000,0.74000,0.77700,0.74000,0.76600
MSNG,D,19991111,000000,0.81000,0.83600,0.77000,0.80000
MSNG,D,19991112,000000,0.80900,0.81900,0.78700,0.81000
MSNG,D,19991115,000000,0.82000,0.83900,0.80400,0.81100
MSNG,D,19991116,000000,0.82400,0.83700,0.81000,0.83100
MSNG,D,19991117,000000,0.83800,0.85000,0.81600,0.81600
MSNG,D,19991118,000000,0.81100,0.82500,0.80000,0.81000
MSNG,D,19991119,000000,0.82000,0.93000,0.82000,0.93000
MSNG,D,19991122,000000,0.89000,0.89000,0.86100,0.87500
MSNG,D,19991123,000000,0.88900,0.90900,0.88900,0.90900
MSNG,D,19991124,000000,0.87700,0.89100,0.85200,0.85500
MSNG,D,19991125,000000,0.87000,0.88700,0.83500,0.88700
MSNG,D,19991126,000000,0.88000,0.88000,0.84700,0.85500
MSNG,D,19991129,000000,0.78000,0.84000,0.78000,0.80100
MSNG,D,19991130,000000,0.80000,0.81000,0.75100,0.77200
MSNG,D,19991201,000000,0.76200,0.80900,0.76100,0.80900
MSNG,D,19991202,000000,0.81100,0.81400,0.79300,0.80000
MSNG,D,19991203,000000,0.81600,0.81900,0.80500,0.81900
MSNG,D,19991206,000000,0.82000,0.83100,0.80200,0.80300
MSNG,D,19991207,000000,0.80000,0.80600,0.73700,0.75000
MSNG,D,19991208,000000,0.72200,0.73400,0.67100,0.72900
MSNG,D,19991209,000000,0.75000,0.75000,0.72000,0.72000
MSNG,D,19991210,000000,0.70500,0.71200,0.67200,0.70700
MSNG,D,19991214,000000,0.70000,0.75000,0.70000,0.75000
MSNG,D,19991215,000000,0.75500,0.82000,0.75500,0.82000
MSNG,D,19991216,000000,0.82000,0.83800,0.77000,0.78000
MSNG,D,19991217,000000,0.80400,0.80500,0.78000,0.78000
MSNG,D,19991220,000000,0.82900,0.87500,0.81800,0.86100
MSNG,D,19991221,000000,0.86800,0.92300,0.86800,0.90300
MSNG,D,19991222,000000,0.92000,0.95000,0.90000,0.91400
MSNG,D,19991223,000000,0.90000,0.95000,0.88300,0.94000
MSNG,D,19991224,000000,0.91000,0.98400,0.90000,0.95300
MSNG,D,19991227,000000,0.95900,1.01000,0.95900,1.00600
MSNG,D,19991228,000000,1.01500,1.03000,0.97100,0.99000
MSNG,D,19991229,000000,0.98500,0.99300,0.97000,0.97500
MSNG,D,20000105,000000,1.09000,1.14300,1.00000,1.10000
MSNG,D,20000106,000000,1.12800,1.19000,1.12800,1.19000
MSNG,D,20000110,000000,1.30000,1.39400,1.20100,1.38500
MSNG,D,20000111,000000,1.35000,1.35000,1.27000,1.27000
MSNG,D,20000112,000000,1.27500,1.38000,1.22100,1.36100
MSNG,D,20000113,000000,1.36000,1.52000,1.32300,1.48200
MSNG,D,20000114,000000,1.50000,1.72500,1.50000,1.71500
MSNG,D,20000117,000000,1.65000,1.75000,1.57500,1.57700
MSNG,D,20000118,000000,1.54000,1.66000,1.51000,1.52000
MSNG,D,20000119,000000,1.47000,1.49000,1.38200,1.39500
MSNG,D,20000120,000000,1.43900,1.55000,1.42200,1.53700
MSNG,D,20000121,000000,1.54000,1.65000,1.53000,1.60800
MSNG,D,20000124,000000,1.60000,1.67000,1.49500,1.50000
MSNG,D,20000125,000000,1.42400,1.47900,1.36200,1.43000
MSNG,D,20000126,000000,1.44000,1.45000,1.40000,1.44400
MSNG,D,20000127,000000,1.46000,1.53600,1.45100,1.53100
MSNG,D,20000128,000000,1.51000,1.56000,1.39800,1.42800
