<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
MTLR,D,20081226,000000,123.25000,123.25000,110.00000,114.00000
MTLR,D,20081229,000000,114.00000,114.00000,110.60000,110.60000
MTLR,D,20081230,000000,112.70000,112.70000,112.70000,112.70000
MTLR,D,20081231,000000,113.40000,113.40000,113.40000,113.40000
MTLR,D,20090111,000000,130.00000,130.00000,116.00000,121.00000
MTLR,D,20090112,000000,124.85000,145.00000,122.66000,132.85000
MTLR,D,20090113,000000,128.88000,140.00000,120.02000,121.45000
MTLR,D,20090114,000000,121.45000,122.00000,111.11000,113.00000
MTLR,D,20090115,000000,112.90000,118.49000,105.03000,106.00000
MTLR,D,20090116,000000,108.25000,111.90000,106.00000,107.50000
MTLR,D,20090119,000000,108.00000,108.00000,97.50000,99.60000
MTLR,D,20090120,000000,95.00000,100.00000,90.00000,92.50000
MTLR,D,20090121,000000,85.05000,89.99000,83.00000,85.00000
MTLR,D,20090122,000000,94.88000,94.88000,76.00000,80.00000
MTLR,D,20090123,000000,84.99000,84.99000,73.00000,75.00000
MTLR,D,20090126,000000,77.00000,88.50000,76.70000,87.00000
MTLR,D,20090127,000000,89.99000,105.00000,82.00000,93.00000
MTLR,D,20090128,000000,93.50000,93.50000,88.11000,91.51000
MTLR,D,20090129,000000,94.58000,99.95000,92.00000,92.00000
MTLR,D,20090130,000000,92.00000,97.47000,90.01000,95.13000
MTLR,D,20090202,000000,99.29000,103.99000,96.00000,101.89000
MTLR,D,20090203,000000,102.90000,111.99000,100.02000,111.90000
MTLR,D,20090204,000000,113.00000,125.00000,112.00000,124.00000
MTLR,D,20090205,000000,125.00000,149.99000,124.50000,130.00000
MTLR,D,20090206,000000,131.90000,148.49000,129.02000,147.00000
MTLR,D,20090209,000000,149.21000,205.86000,149.21000,173.99000
MTLR,D,20090210,000000,180.00000,217.00000,175.47000,188.80000
MTLR,D,20090211,000000,177.00000,183.50000,168.80000,175.10000
MTLR,D,20090212,000000,175.00000,175.10000,150.00000,154.15000
MTLR,D,20090213,000000,163.00000,163.30000,155.00000,159.00000
MTLR,D,20090216,000000,157.13000,159.79000,149.50000,156.00000
MTLR,D,20090217,000000,158.60000,158.79000,131.00000,143.69000
MTLR,D,20090218,000000,145.00000,147.00000,130.10000,139.00000
MTLR,D,20090219,000000,145.70000,147.00000,135.02000,142.00000
MTLR,D,20090220,000000,145.50000,160.00000,126.62000,134.00000
MTLR,D,20090224,000000,128.10000,139.87000,123.01000,134.90000
MTLR,D,20090225,000000,148.46000,156.00000,139.90000,142.00000
