<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SBER,D,19991001,000000,529.00000,545.00000,521.00000,538.90000
SBER,D,19991004,000000,550.00000,583.00000,540.00000,569.00000
SBER,D,19991005,000000,587.00000,587.00000,562.00000,581.00000
SBER,D,19991006,000000,580.00000,581.50000,561.00000,561.50000
SBER,D,19991007,000000,565.00000,573.40000,556.00000,573.00000
SBER,D,19991008,000000,579.00000,609.80000,579.00000,592.01000
SBER,D,19991011,000000,585.00000,645.00000,585.00000,645.00000
SBER,D,19991012,000000,659.00000,663.00000,605.00000,606.20000
SBER,D,19991013,000000,590.00000,614.00000,577.00000,613.50000
SBER,D,19991014,000000,590.00000,638.97000,580.01000,625.00000
SBER,D,19991015,000000,620.00000,625.00000,572.00000,575.00000
SBER,D,19991018,000000,572.00000,600.00000,553.00000,563.00000
SBER,D,19991019,000000,575.00000,594.80000,563.00000,590.20000
SBER,D,19991020,000000,598.00000,608.00000,589.99000,598.01000
SBER,D,19991021,000000,610.00000,610.00000,573.00000,580.00000
SBER,D,19991022,000000,575.10000,595.00000,575.10000,595.00000
SBER,D,19991025,000000,600.00000,600.00000,580.00000,580.02000
SBER,D,19991026,000000,590.00000,594.50000,580.00000,585.00000
SBER,D,19991027,000000,577.20000,579.00000,568.00000,570.00000
SBER,D,19991028,000000,581.00000,583.00000,571.00000,578.00000
SBER,D,19991029,000000,581.00000,586.50000,577.00000,584.98000
SBER,D,19991101,000000,583.50000,586.00000,578.12000,581.53000
SBER,D,19991102,000000,584.99000,593.99000,584.99000,587.00000
SBER,D,19991103,000000,581.00000,584.50000,563.00000,565.00000
SBER,D,19991104,000000,570.00000,579.00000,541.10000,579.00000
SBER,D,19991105,000000,575.00000,599.00000,565.00000,599.00000
SBER,D,19991109,000000,600.00000,625.00000,591.00000,615.00000
SBER,D,19991110,000000,618.00000,650.00000,618.00000,645.00000
SBER,D,19991111,000000,665.00000,680.00000,630.01000,632.00000
SBER,D,19991112,000000,640.00000,657.00000,627.00000,657.00000
SBER,D,19991115,000000,650.00000,686.90000,650.00000,654.00000
SBER,D,19991116,000000,665.00000,689.90000,660.00000,689.00000
SBER,D,19991117,000000,692.00000,739.00000,685.00000,725.00000
SBER,D,19991118,000000,725.00000,725.00000,695.00000,715.00000
SBER,D,19991119,000000,727.50000,780.00000,723.00000,780.00000
SBER,D,19991122,000000,814.00000,858.00000,814.00000,844.99000
SBER,D,19991123,000000,840.00000,872.00000,840.00000,871.00000
SBER,D,19991124,000000,845.00000,857.99000,785.00000,804.00000
SBER,D,19991125,000000,800.00000,849.00000,781.00000,849.00000
SBER,D,19991126,000000,849.00000,869.90000,801.01000,806.00000
SBER,D,19991129,000000,800.00000,805.00000,755.01000,760.00000
SBER,D,19991130,000000,750.00000,785.00000,742.01000,763.00000
SBER,D,19991201,000000,760.00000,795.00000,755.00000,795.00000
SBER,D,19991202,000000,812.00000,812.30000,781.00000,800.00000
SBER,D,19991203,000000,808.00000,854.00000,791.00000,853.00000
SBER,D,19991206,000000,870.00000,875.00000,819.00000,820.00000
SBER,D,19991207,000000,805.00000,819.90000,745.05000,756.00000
SBER,D,19991208,000000,745.00000,750.00000,702.14000,745.00000
SBER,D,19991209,000000,750.00000,759.00000,711.00000,711.00000
SBER,D,19991210,000000,710.00000,723.00000,690.00000,710.00000
SBER,D,19991214,000000,690.00000,740.00000,690.00000,740.00000
SBER,D,19991215,000000,750.00000,809.90000,740.00000,803.00000
SBER,D,19991216,000000,840.00000,840.00000,775.00000,777.01000
SBER,D,19991217,000000,797.99000,824.98000,781.00000,800.50000
SBER,D,19991220,000000,845.00000,908.00000,835.00000,895.01000
SBER,D,19991221,000000,895.00000,970.00000,875.00000,921.00000
SBER,D,19991222,000000,960.00000,999.00000,940.00000,950.00000
SBER,D,19991223,000000,940.00000,976.00000,903.00000,970.00000
SBER,D,19991224,000000,950.00000,995.00000,936.06000,960.00000
SBER,D,19991227,000000,975.00000,1050.00000,975.00000,1050.00000
SBER,D,19991228,000000,1050.00000,1089.00000,1002.00000,1027.00000
SBER,D,19991229,000000,1018.00000,1050.00000,1000.00000,1016.00000
SBER,D,20000105,000000,1150.00000,1264.88000,1080.00000,1218.01000
SBER,D,20000106,000000,1230.00000,1280.00000,1230.00000,1267.00000
SBER,D,20000110,000000,1325.00000,1389.50000,1255.00000,1341.00000
SBER,D,20000111,000000,1335.00000,1340.00000,1190.00000,1217.20000
SBER,D,20000112,000000,1141.00000,1310.00000,1102.00000,1265.10000
SBER,D,20000113,000000,1260.00000,1490.00000,1246.00000,1405.00000
SBER,D,20000114,000000,1450.00000,1539.00000,1407.00000,1499.00000
SBER,D,20000117,000000,1480.00000,1543.00000,1360.01000,1376.00000
SBER,D,20000118,000000,1360.00000,1480.00000,1312.00000,1315.00000
SBER,D,20000119,000000,1320.00000,1330.00000,1206.00000,1216.00000
SBER,D,20000120,000000,1275.00000,1337.00000,1256.01000,1337.00000
SBER,D,20000121,000000,1290.02000,1390.00000,1285.00000,1366.00000
SBER,D,20000124,000000,1373.00000,1390.00000,1230.01000,1235.05000
SBER,D,20000125,000000,1180.00000,1240.00000,1130.00000,1190.00000
SBER,D,20000126,000000,1199.00000,1264.90000,1176.00000,1250.00000
SBER,D,20000127,000000,1280.00000,1335.00000,1256.00000,1325.00000
SBER,D,20000128,000000,1315.00000,1347.00000,1195.00000,1200.05000
SBER,D,20000131,000000,1151.00000,1182.00000,1119.00000,1137.00000
SBER,D,20000201,000000,1160.00000,1210.00000,1117.00000,1127.00000
SBER,D,20000202,000000,1150.00000,1186.00000,1117.50000,1143.00000
SBER,D,20000203,000000,1140.00000,1227.00000,1117.00000,1209.00000
SBER,D,20000204,000000,1220.00000,1257.00000,1215.00000,1235.00000
SBER,D,20000207,000000,1245.00000,1279.98000,1215.02000,1236.01000
SBER,D,20000208,000000,1244.00000,1310.00000,1240.00000,1303.00000
SBER,D,20000209,000000,1330.00000,1380.00000,1302.01000,1307.00000
SBER,D,20000210,000000,1280.00000,1330.00000,1278.00000,1300.00000
SBER,D,20000211,000000,1340.00000,1340.00000,1285.00000,1300.10000
