<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SCOH,D,20030423,000000,100.10000,100.10000,100.10000,100.10000
SCOH,D,20030428,000000,100.20000,100.20000,100.20000,100.20000
SCOH,D,20030515,000000,100.01000,100.25000,100.01000,100.25000
SCOH,D,20030516,000000,100.25000,100.25000,100.25000,100.25000
SCOH,D,20030521,000000,100.25000,100.25000,100.25000,100.25000
SCOH,D,20030522,000000,100.25000,100.25000,99.60000,99.60000
SCOH,D,20030523,000000,100.25000,100.25000,100.25000,100.25000
SCOH,D,20030526,000000,100.00000,100.00000,100.00000,100.00000
SCOH,D,20030530,000000,100.25000,100.25000,100.23000,100.23000
SCOH,D,20030603,000000,100.30000,100.30000,100.30000,100.30000
SCOH,D,20030605,000000,100.30000,100.35000,100.30000,100.35000
SCOH,D,20030609,000000,100.34000,100.35000,100.34000,100.35000
SCOH,D,20030611,000000,100.39000,100.40000,99.70000,100.40000
SCOH,D,20030616,000000,100.30000,100.40000,100.30000,100.40000
SCOH,D,20030617,000000,100.40000,100.45000,100.40000,100.45000
SCOH,D,20030619,000000,100.40000,100.40000,100.40000,100.40000
SCOH,D,20030620,000000,100.00000,100.40000,100.00000,100.40000
SCOH,D,20030625,000000,100.50000,100.50000,100.40000,100.40000
SCOH,D,20030701,000000,100.40000,100.40000,99.50000,99.50000
SCOH,D,20030702,000000,100.40000,100.40000,100.40000,100.40000
SCOH,D,20030704,000000,100.00000,100.00000,100.00000,100.00000
SCOH,D,20030711,000000,100.40000,100.40000,100.00000,100.00000
SCOH,D,20030714,000000,100.40000,100.40000,99.70000,99.70000
SCOH,D,20030717,000000,100.00000,100.00000,100.00000,100.00000
SCOH,D,20030722,000000,100.00000,100.00000,99.70000,99.70000
SCOH,D,20030723,000000,99.80000,99.80000,99.80000,99.80000
SCOH,D,20030801,000000,100.00000,100.00000,100.00000,100.00000
SCOH,D,20030812,000000,100.50000,100.50000,100.50000,100.50000
SCOH,D,20030820,000000,100.10000,100.10000,99.95000,99.95000
SCOH,D,20030822,000000,100.45000,100.45000,99.80000,99.80000
SCOH,D,20030825,000000,100.10000,100.10000,100.10000,100.10000
SCOH,D,20030826,000000,100.10000,100.10000,100.10000,100.10000
SCOH,D,20040105,000000,101.00000,101.00000,101.00000,101.00000
SCOH,D,20040113,000000,100.00000,100.00000,99.00000,99.00000
SCOH,D,20040116,000000,101.00000,101.00000,101.00000,101.00000
SCOH,D,20040119,000000,101.00000,101.00000,101.00000,101.00000
SCOH,D,20040218,000000,103.40000,103.40000,103.40000,103.40000
SCOH,D,20041209,000000,280.00000,280.00000,280.00000,280.00000
SCOH,D,20041229,000000,270.00000,274.00000,270.00000,273.50000
SCOH,D,20041230,000000,276.26000,279.26000,276.00000,278.00000
SCOH,D,20050111,000000,265.50000,279.50000,265.50000,277.00000
SCOH,D,20050112,000000,278.50000,280.00000,278.50000,280.00000
SCOH,D,20050113,000000,279.80000,279.80000,279.80000,279.80000
SCOH,D,20050114,000000,265.00000,278.00000,265.00000,278.00000
SCOH,D,20050117,000000,278.80000,278.80000,278.80000,278.80000
SCOH,D,20050120,000000,275.00000,275.00000,275.00000,275.00000
SCOH,D,20050125,000000,275.00000,275.00000,275.00000,275.00000
SCOH,D,20050127,000000,266.50000,268.00000,266.50000,268.00000
SCOH,D,20050128,000000,266.00000,278.00000,266.00000,276.00000
SCOH,D,20050131,000000,275.00000,281.00000,267.00000,281.00000
SCOH,D,20050201,000000,282.00000,289.00000,279.00000,289.00000
SCOH,D,20050202,000000,282.00000,293.50000,282.00000,292.50000
SCOH,D,20050203,000000,287.00000,300.00000,287.00000,297.00000
SCOH,D,20050204,000000,295.01000,300.00000,295.01000,297.01000
SCOH,D,20050207,000000,299.00000,299.00000,299.00000,299.00000
SCOH,D,20050208,000000,292.00000,295.00000,292.00000,294.50000
SCOH,D,20050209,000000,300.00000,300.00000,298.00000,298.00000
SCOH,D,20050210,000000,298.00000,301.00000,297.01000,297.50000
SCOH,D,20050214,000000,297.10000,302.00000,297.10000,299.99000
SCOH,D,20050215,000000,299.00000,302.90000,296.07000,296.07000
SCOH,D,20050216,000000,299.99000,299.99000,296.00000,296.00000
SCOH,D,20050217,000000,296.00000,297.00000,295.00000,295.00000
SCOH,D,20050218,000000,293.00000,296.50000,293.00000,296.50000
SCOH,D,20050221,000000,293.00000,298.00000,293.00000,296.51000
SCOH,D,20050222,000000,298.00000,298.00000,294.00000,294.00000
SCOH,D,20050224,000000,294.00000,294.00000,293.50000,293.50000
SCOH,D,20050225,000000,295.00000,301.00000,295.00000,301.00000
SCOH,D,20050301,000000,301.00000,303.00000,301.00000,302.15000
SCOH,D,20050302,000000,302.00000,305.80000,301.35000,305.79000
SCOH,D,20050303,000000,303.00000,310.00000,303.00000,306.00000
SCOH,D,20050304,000000,308.00000,308.50000,307.00000,307.10000
SCOH,D,20050305,000000,307.00000,309.00000,306.00000,306.00000
SCOH,D,20050309,000000,309.99000,310.00000,306.00000,306.00000
SCOH,D,20050310,000000,303.50000,303.50000,302.50000,302.50000
SCOH,D,20050311,000000,304.00000,304.00000,304.00000,304.00000
SCOH,D,20050314,000000,302.50000,306.00000,302.00000,306.00000
SCOH,D,20050315,000000,304.00000,304.00000,303.25000,303.25000
SCOH,D,20050316,000000,303.00000,306.50000,300.00000,306.50000
SCOH,D,20050317,000000,305.99000,305.99000,302.00000,302.00000
SCOH,D,20050318,000000,303.00000,303.00000,303.00000,303.00000
SCOH,D,20050321,000000,300.51000,305.50000,300.51000,305.50000
SCOH,D,20050322,000000,301.80000,301.95000,301.55000,301.55000
SCOH,D,20050323,000000,302.00000,303.00000,302.00000,303.00000
SCOH,D,20050324,000000,303.00000,303.01000,301.00000,301.00000
SCOH,D,20050325,000000,303.50000,305.99000,303.50000,304.00000
SCOH,D,20050329,000000,308.50000,308.50000,302.00000,306.15000
SCOH,D,20050330,000000,307.00000,307.00000,307.00000,307.00000
SCOH,D,20050404,000000,305.30000,307.50000,305.30000,307.50000
SCOH,D,20050405,000000,305.29000,307.50000,305.29000,307.50000
SCOH,D,20050406,000000,307.00000,308.00000,307.00000,308.00000
SCOH,D,20050407,000000,308.00000,308.00000,308.00000,308.00000
SCOH,D,20050408,000000,308.00000,310.00000,305.00000,309.50000
SCOH,D,20050411,000000,305.50000,307.00000,304.50000,304.50000
SCOH,D,20050412,000000,308.00000,308.00000,307.01000,308.00000
SCOH,D,20050413,000000,308.50000,318.99000,308.50000,318.99000
SCOH,D,20050414,000000,313.01000,319.99000,313.01000,319.99000
SCOH,D,20050415,000000,317.00000,333.01000,317.00000,333.01000
SCOH,D,20050418,000000,344.99000,345.00000,331.00000,339.00000
SCOH,D,20050419,000000,335.00000,340.00000,335.00000,340.00000
SCOH,D,20050420,000000,338.99000,340.00000,338.99000,340.00000
SCOH,D,20050421,000000,338.00000,347.00000,338.00000,344.99000
SCOH,D,20050422,000000,343.00000,346.00000,325.00000,337.00000
SCOH,D,20050425,000000,335.00000,335.00000,328.00000,328.00000
SCOH,D,20050426,000000,332.00000,341.89000,330.10000,331.00000
SCOH,D,20050427,000000,333.50000,342.00000,333.50000,342.00000
SCOH,D,20050428,000000,341.50000,344.50000,341.50000,344.50000
SCOH,D,20050429,000000,341.00000,348.00000,341.00000,348.00000
SCOH,D,20050503,000000,375.00000,375.00000,360.00000,360.00000
SCOH,D,20050504,000000,360.00000,361.00000,354.99000,354.99000
SCOH,D,20050505,000000,369.99000,369.99000,360.00000,360.00000
SCOH,D,20050506,000000,355.59000,355.59000,341.02000,341.02000
SCOH,D,20050511,000000,349.50000,349.50000,349.50000,349.50000
SCOH,D,20050513,000000,337.00000,358.45000,335.01000,358.45000
SCOH,D,20050514,000000,342.99000,360.00000,337.01000,360.00000
SCOH,D,20050517,000000,336.02000,359.99000,336.01000,359.99000
SCOH,D,20050518,000000,346.99000,360.00000,346.99000,360.00000
SCOH,D,20050519,000000,359.98000,359.98000,359.98000,359.98000
SCOH,D,20050520,000000,360.00000,361.00000,340.00000,361.00000
SCOH,D,20050523,000000,362.99000,364.50000,362.99000,364.50000
SCOH,D,20050524,000000,364.00000,364.77000,364.00000,364.77000
SCOH,D,20050525,000000,360.00000,374.99000,357.47000,358.50000
SCOH,D,20050526,000000,364.99000,364.99000,364.99000,364.99000
SCOH,D,20050527,000000,364.99000,382.15000,364.98000,381.00000
SCOH,D,20050530,000000,370.00000,370.00000,370.00000,370.00000
SCOH,D,20050531,000000,371.00000,373.00000,371.00000,373.00000
SCOH,D,20050601,000000,379.00000,383.00000,379.00000,383.00000
SCOH,D,20050602,000000,378.00000,395.00000,378.00000,381.00000
SCOH,D,20050603,000000,380.00000,382.13000,380.00000,382.13000
SCOH,D,20050606,000000,382.13000,385.00000,376.01000,384.98000
SCOH,D,20050607,000000,382.00000,387.50000,378.00000,387.50000
SCOH,D,20050609,000000,389.00000,389.00000,389.00000,389.00000
SCOH,D,20050610,000000,395.70000,395.70000,381.00000,381.00000
SCOH,D,20050614,000000,375.00000,375.00000,375.00000,375.00000
SCOH,D,20050615,000000,375.00000,375.10000,375.00000,375.00000
SCOH,D,20050616,000000,373.04000,373.04000,370.00000,370.00000
SCOH,D,20050617,000000,374.99000,375.00000,374.99000,375.00000
SCOH,D,20050620,000000,383.00000,385.00000,383.00000,385.00000
SCOH,D,20050621,000000,385.00000,385.00000,385.00000,385.00000
SCOH,D,20050622,000000,386.00000,402.06000,386.00000,402.06000
SCOH,D,20050623,000000,422.16000,422.16000,400.00000,409.50000
SCOH,D,20050624,000000,421.78000,421.78000,421.78000,421.78000
SCOH,D,20050627,000000,420.00000,425.00000,410.00000,410.00000
SCOH,D,20050628,000000,410.00000,410.00000,410.00000,410.00000
SCOH,D,20050630,000000,409.13000,442.30000,409.13000,420.00000
SCOH,D,20050701,000000,425.00000,440.00000,425.00000,435.00000
SCOH,D,20050705,000000,426.25000,500.00000,423.00000,423.09000
SCOH,D,20050706,000000,433.00000,433.00000,433.00000,433.00000
SCOH,D,20050707,000000,428.50000,465.00000,428.50000,465.00000
SCOH,D,20050708,000000,441.00000,450.00000,425.00000,440.00000
SCOH,D,20050711,000000,453.98000,453.98000,438.00000,438.00000
SCOH,D,20050712,000000,430.00000,436.00000,430.00000,430.00000
SCOH,D,20050713,000000,440.00000,440.00000,426.00000,426.00000
SCOH,D,20050714,000000,430.00000,430.00000,430.00000,430.00000
SCOH,D,20050715,000000,430.00000,430.00000,430.00000,430.00000
SCOH,D,20050718,000000,430.00000,430.00000,430.00000,430.00000
SCOH,D,20050719,000000,430.00000,433.00000,426.50000,426.50000
SCOH,D,20050720,000000,433.00000,434.00000,430.00000,434.00000
SCOH,D,20050721,000000,430.00000,430.00000,430.00000,430.00000
SCOH,D,20050725,000000,433.00000,433.00000,431.00000,431.00000
SCOH,D,20050727,000000,430.00000,435.00000,425.51000,435.00000
SCOH,D,20050728,000000,442.00000,442.00000,442.00000,442.00000
SCOH,D,20050729,000000,440.00000,440.00000,433.00000,433.00000
SCOH,D,20050801,000000,433.00000,442.00000,433.00000,439.00000
SCOH,D,20050802,000000,433.00000,440.00000,433.00000,440.00000
SCOH,D,20050803,000000,440.00000,440.00000,440.00000,440.00000
SCOH,D,20050804,000000,445.00000,452.00000,443.00000,451.70000
SCOH,D,20050805,000000,441.00000,452.00000,441.00000,450.00000
SCOH,D,20050808,000000,453.57000,460.00000,447.00000,447.00000
SCOH,D,20050809,000000,447.00000,458.00000,444.00000,444.00000
SCOH,D,20050810,000000,444.00000,444.00000,444.00000,444.00000
SCOH,D,20050811,000000,439.96000,443.00000,431.00000,439.00000
SCOH,D,20050816,000000,435.00000,453.16000,435.00000,441.00000
SCOH,D,20050817,000000,440.00000,457.99000,440.00000,450.00000
SCOH,D,20050818,000000,440.00000,454.00000,440.00000,454.00000
SCOH,D,20050819,000000,467.18000,467.18000,449.00000,449.00000
SCOH,D,20050822,000000,461.00000,467.00000,461.00000,465.00000
SCOH,D,20050823,000000,455.00000,468.00000,455.00000,468.00000
SCOH,D,20050824,000000,481.00000,481.00000,470.00000,476.00000
SCOH,D,20050825,000000,466.57000,519.00000,465.00000,517.00000
