<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
VTBR,D,20070528,000000,0.14490,0.17490,0.14000,0.14160
VTBR,D,20070529,000000,0.14200,0.14490,0.13780,0.13950
VTBR,D,20070530,000000,0.13770,0.13900,0.13550,0.13850
VTBR,D,20070531,000000,0.13980,0.14500,0.13960,0.14480
VTBR,D,20070601,000000,0.14500,0.14650,0.14380,0.14520
VTBR,D,20070604,000000,0.14500,0.14500,0.14090,0.14290
VTBR,D,20070605,000000,0.14300,0.14450,0.14190,0.14280
VTBR,D,20070606,000000,0.14290,0.14350,0.13980,0.14200
VTBR,D,20070607,000000,0.14150,0.14220,0.14080,0.14100
VTBR,D,20070608,000000,0.14020,0.14360,0.14000,0.14290
VTBR,D,20070609,000000,0.14300,0.14390,0.14240,0.14260
VTBR,D,20070613,000000,0.14240,0.14330,0.14150,0.14320
VTBR,D,20070614,000000,0.14380,0.14680,0.14330,0.14660
VTBR,D,20070615,000000,0.14690,0.14750,0.14400,0.14450
VTBR,D,20070618,000000,0.14550,0.14580,0.14370,0.14460
VTBR,D,20070619,000000,0.14430,0.14460,0.14340,0.14360
VTBR,D,20070620,000000,0.14440,0.14590,0.14360,0.14520
VTBR,D,20070621,000000,0.14500,0.14500,0.14350,0.14380
VTBR,D,20070622,000000,0.14390,0.14450,0.14260,0.14310
VTBR,D,20070625,000000,0.14270,0.14280,0.14120,0.14200
VTBR,D,20070626,000000,0.14190,0.14300,0.14120,0.14210
VTBR,D,20070627,000000,0.14190,0.14220,0.14010,0.14090
VTBR,D,20070628,000000,0.14190,0.14200,0.14070,0.14130
VTBR,D,20070629,000000,0.14120,0.14170,0.13990,0.14090
VTBR,D,20070702,000000,0.14090,0.14120,0.13970,0.14000
VTBR,D,20070703,000000,0.14020,0.14090,0.13920,0.14040
VTBR,D,20070704,000000,0.14030,0.14050,0.13910,0.13980
VTBR,D,20070705,000000,0.14000,0.14030,0.13940,0.14010
VTBR,D,20070706,000000,0.13990,0.14110,0.13950,0.14020
VTBR,D,20070709,000000,0.14050,0.14140,0.13990,0.14120
VTBR,D,20070710,000000,0.14090,0.14090,0.13940,0.14000
VTBR,D,20070711,000000,0.13940,0.14020,0.13910,0.13960
VTBR,D,20070712,000000,0.14000,0.14100,0.13970,0.14100
VTBR,D,20070713,000000,0.14130,0.14170,0.14000,0.14070
VTBR,D,20070716,000000,0.14040,0.14050,0.13940,0.14040
VTBR,D,20070717,000000,0.14000,0.14010,0.13860,0.13980
VTBR,D,20070718,000000,0.13950,0.13950,0.13820,0.13860
VTBR,D,20070719,000000,0.13860,0.14000,0.13850,0.14000
VTBR,D,20070720,000000,0.14000,0.14060,0.13880,0.13960
VTBR,D,20070723,000000,0.13940,0.14060,0.13900,0.14030
VTBR,D,20070724,000000,0.14000,0.14060,0.13900,0.14060
VTBR,D,20070725,000000,0.13970,0.14060,0.13890,0.14040
VTBR,D,20070726,000000,0.14040,0.14050,0.13730,0.13750
VTBR,D,20070727,000000,0.13690,0.13750,0.13600,0.13640
VTBR,D,20070730,000000,0.13640,0.13740,0.13480,0.13520
VTBR,D,20070731,000000,0.13600,0.13700,0.13570,0.13670
VTBR,D,20070801,000000,0.13590,0.13620,0.13380,0.13610
VTBR,D,20070802,000000,0.13620,0.13660,0.13550,0.13600
VTBR,D,20070803,000000,0.13640,0.13750,0.13570,0.13690
